Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
,,,,0,1395403,144626987,1395403
,,,Less than High School,1,109936,12846916,109936
,,,High School,1,344033,36322013,344033
,,,Some College,1,457608,47701968,457608
,,,Bachelors Degree or more,1,483826,47756090,483826
,,0,,2,1309165,136414654,1309165
,,1,,2,86238,8212333,86238
,,0,Less than High School,3,98743,11732325,98743
,,0,High School,3,317406,33806415,317406
,,0,Some College,3,428265,44872557,428265
,,0,Bachelors Degree or more,3,464751,46003357,464751
,,1,Less than High School,3,11193,1114591,11193
,,1,High School,3,26627,2515598,26627
,,1,Some College,3,29343,2829411,29343
,,1,Bachelors Degree or more,3,19075,1752733,19075
,Management Occupations,,,4,146146,14298341,146146
,Business & Financial Operations Occupations,,,4,69701,6986607,69701
,Computer & Mathematical Occupations,,,4,37981,3882052,37981
,Architecture & Engineering Occupations,,,4,27332,2674826,27332
,"Life, Physical, & Social Science Occupations",,,4,13108,1244612,13108
,Community & Social Services Occupations,,,4,24444,2381607,24444
,Legal Occupations,,,4,17509,1685124,17509
,"Education, Training, & Library Occupations",,,4,93084,8803789,93084
,"Arts, Design, Entertainment, Sports, & Media Occupations",,,4,27261,2773230,27261
,Healthcare Practitioners & Technical Occupations,,,4,82348,8135935,82348
,Healthcare Support Occupations,,,4,33949,3758298,33949
,Protective Service Occupations,,,4,30663,3187237,30663
,Food Preparation & Serving Related Occupations,,,4,66801,8042197,66801
,Building & Grounds Cleaning & Maintenance Occupations,,,4,51133,5772327,51133
,Personal Care & Service Occupations,,,4,49306,5296016,49306
,Sales & Related Occupations,,,4,142111,15350806,142111
,Office & Administrative Support Occupations,,,4,190380,19280063,190380
,"Farming, Fishing, & Forestry Occupations",,,4,9649,989715,9649
,Construction & Extraction Occupations,,,4,64631,7225690,64631
,"Installation, Maintenance, & Repair Occupations",,,4,45701,4728870,45701
,Production Occupations,,,4,83422,8702675,83422
,Transportation & Material Moving Occupations,,,4,83134,8891696,83134
,Military Specific Occupations,,,4,5609,535274,5609
,Management Occupations,,Less than High School,5,4350,454926,4350
,Management Occupations,,High School,5,21165,2087693,21165
,Management Occupations,,Some College,5,39267,3877399,39267
,Management Occupations,,Bachelors Degree or more,5,81364,7878323,81364
,Business & Financial Operations Occupations,,Less than High School,5,688,70830,688
,Business & Financial Operations Occupations,,High School,5,6112,622403,6112
,Business & Financial Operations Occupations,,Some College,5,16874,1713701,16874
,Business & Financial Operations Occupations,,Bachelors Degree or more,5,46027,4579673,46027
,Computer & Mathematical Occupations,,Less than High School,5,233,25874,233
,Computer & Mathematical Occupations,,High School,5,2046,224053,2046
,Computer & Mathematical Occupations,,Some College,5,10246,1050809,10246
,Computer & Mathematical Occupations,,Bachelors Degree or more,5,25456,2581316,25456
,Architecture & Engineering Occupations,,Less than High School,5,239,26949,239
,Architecture & Engineering Occupations,,High School,5,1971,195135,1971
,Architecture & Engineering Occupations,,Some College,5,6988,665969,6988
,Architecture & Engineering Occupations,,Bachelors Degree or more,5,18134,1786773,18134
,"Life, Physical, & Social Science Occupations",,Less than High School,5,108,11624,108
,"Life, Physical, & Social Science Occupations",,High School,5,645,62050,645
,"Life, Physical, & Social Science Occupations",,Some College,5,1716,163243,1716
,"Life, Physical, & Social Science Occupations",,Bachelors Degree or more,5,10639,1007695,10639
,Community & Social Services Occupations,,Less than High School,5,387,40325,387
,Community & Social Services Occupations,,High School,5,1755,172020,1755
,Community & Social Services Occupations,,Some College,5,4305,445844,4305
,Community & Social Services Occupations,,Bachelors Degree or more,5,17997,1723418,17997
,Legal Occupations,,Less than High School,5,85,8512,85
,Legal Occupations,,High School,5,844,84935,844
,Legal Occupations,,Some College,5,2571,258634,2571
,Legal Occupations,,Bachelors Degree or more,5,14009,1333043,14009
,"Education, Training, & Library Occupations",,Less than High School,5,828,86567,828
,"Education, Training, & Library Occupations",,High School,5,5361,532183,5361
,"Education, Training, & Library Occupations",,Some College,5,14045,1376087,14045
,"Education, Training, & Library Occupations",,Bachelors Degree or more,5,72850,6808952,72850
,"Arts, Design, Entertainment, Sports, & Media Occupations",,Less than High School,5,577,66324,577
,"Arts, Design, Entertainment, Sports, & Media Occupations",,High School,5,2652,271130,2652
,"Arts, Design, Entertainment, Sports, & Media Occupations",,Some College,5,7778,800286,7778
,"Arts, Design, Entertainment, Sports, & Media Occupations",,Bachelors Degree or more,5,16254,1635490,16254
,Healthcare Practitioners & Technical Occupations,,Less than High School,5,540,57776,540
,Healthcare Practitioners & Technical Occupations,,High School,5,4471,467695,4471
,Healthcare Practitioners & Technical Occupations,,Some College,5,29763,2935486,29763
,Healthcare Practitioners & Technical Occupations,,Bachelors Degree or more,5,47574,4674978,47574
,Healthcare Support Occupations,,Less than High School,5,2761,307500,2761
,Healthcare Support Occupations,,High School,5,10126,1122900,10126
,Healthcare Support Occupations,,Some College,5,16973,1894324,16973
,Healthcare Support Occupations,,Bachelors Degree or more,5,4089,433574,4089
,Protective Service Occupations,,Less than High School,5,972,99303,972
,Protective Service Occupations,,High School,5,7279,762078,7279
,Protective Service Occupations,,Some College,5,14847,1549044,14847
,Protective Service Occupations,,Bachelors Degree or more,5,7565,776812,7565
,Food Preparation & Serving Related Occupations,,Less than High School,5,11875,1530809,11875
