Dis1,Industry21,MajorOcc,Sector7,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample
,,,,0,1395403,0.158063751,22860284,144626987,1395403
,,,"Private, for profit",1,906078,0.177467915,17384249,97957138,906078
,,,Private non-profit,1,122542,0.098998079,1152055,11637145,122542
,,,Local government,1,104853,0.124063058,1227814,9896693,104853
,,,State government,1,72279,0.0946847,646782,6830903,72279
,,,Federal government,1,49171,0.115228681,550097,4773959,49171
,,,Self employed,1,140480,0.140364059,1899287,13531149,140480
,,Management Occupations,,2,146146,0.090728078,1297261,14298341,146146
,,Business & Financial Operations Occupations,,2,69701,0.084387887,589585,6986607,69701
,,Computer & Mathematical Occupations,,2,37981,0.06533014,253615,3882052,37981
,,Architecture & Engineering Occupations,,2,27332,0.075779135,202696,2674826,27332
,,"Life, Physical, & Social Science Occupations",,2,13108,0.069032759,85919,1244612,13108
,,Community & Social Services Occupations,,2,24444,0.109619681,261071,2381607,24444
,,Legal Occupations,,2,17509,0.07090042,119476,1685124,17509
,,"Education, Training, & Library Occupations",,2,93084,0.094143442,828819,8803789,93084
,,"Arts, Design, Entertainment, Sports, & Media Occupations",,2,27261,0.101475536,281415,2773230,27261
,,Healthcare Practitioners & Technical Occupations,,2,82348,0.074581348,606789,8135935,82348
,,Healthcare Support Occupations,,2,33949,0.153424236,576614,3758298,33949
,,Protective Service Occupations,,2,30663,0.132860845,423459,3187237,30663
,,Food Preparation & Serving Related Occupations,,2,66801,0.251855059,2025468,8042197,66801
,,Building & Grounds Cleaning & Maintenance Occupations,,2,51133,0.365950508,2112386,5772327,51133
,,Personal Care & Service Occupations,,2,49306,0.163628282,866578,5296016,49306
,,Sales & Related Occupations,,2,142111,0.143743462,2206578,15350806,142111
,,Office & Administrative Support Occupations,,2,190380,0.142824274,2753661,19280063,190380
,,"Farming, Fishing, & Forestry Occupations",,2,9649,0.536943464,531421,989715,9649
,,Construction & Extraction Occupations,,2,64631,0.302265251,2184075,7225690,64631
,,"Installation, Maintenance, & Repair Occupations",,2,45701,0.172351111,815026,4728870,45701
,,Production Occupations,,2,83422,0.215906374,1878963,8702675,83422
,,Transportation & Material Moving Occupations,,2,83134,0.211692685,1882307,8891696,83134
,,Military Specific Occupations,,2,5609,0.144042117,77102,535274,5609
,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,4,31117,0.276381741,781840,2828841,31117
,Utilities,,,4,13130,0.100618784,124980,1242114,13130
,Construction         ,,,4,80676,0.26104411,2320797,8890440,80676
,Manufacturing,,,4,151077,0.156077141,2378534,15239477,151077
,Wholesale Trade,,,4,38133,0.178900307,700382,3914929,38133
,Retail Trade,,,4,152097,0.157506358,2606459,16548278,152097
,"Transportation, Warehousing & Storage",,,4,55178,0.165915451,964875,5815462,55178
,Information,,,4,29604,0.106813665,326025,3052278,29604
,"Finance, Insurance",,,4,66657,0.104448045,714121,6837093,66657
,"Real Estate, Rental & Leasing",,,4,25333,0.148735553,399009,2682674,25333
,"Professional, Scientific, Management",,,4,97480,0.081639956,797411,9767411,97480
,Administrative & Waste Management Services,,,4,54026,0.27087333,1679257,6199418,54026
,Educational Services,,,4,143909,0.104398738,1400358,13413553,143909
,Health Care,,,4,161273,0.111316026,1841314,16541320,161273
,Social Assistance Services,,,4,33032,0.162611342,547695,3368123,33032
,"Arts, Entertainment, Recreation",,,4,28846,0.137448374,414236,3013757,28846
,Accommodation and Food Services,,,4,84746,0.254064686,2620428,10314019,84746
,Other Services (except Public Administration)       ,,,4,68142,0.1890733,1347709,7127971,68142
,Public Administration,,,4,70390,0.109556751,749827,6844188,70390
,Active Duty Military,,,4,10557,0.14713978,145027,985641,10557
0,,,,8,1309165,0.159991338,21825163,136414654,1309165
1,,,,8,86238,0.126044694,1035121,8212333,86238
0,,,"Private, for profit",9,853641,0.179593757,16657507,92751036,853641
0,,,Private non-profit,9,113622,0.099882532,1084215,10854901,113622
0,,,Local government,9,98258,0.124840812,1163904,9323105,98258
0,,,State government,9,67759,0.094496476,607704,6430970,67759
0,,,Federal government,9,45874,0.116329261,519439,4465248,45874
0,,,Self employed,9,130011,0.142373334,1792394,12589394,130011
1,,,"Private, for profit",9,52437,0.139594268,726742,5206102,52437
1,,,Private non-profit,9,8920,0.086724858,67840,782244,8920
1,,,Local government,9,6595,0.111421438,63910,573588,6595
1,,,State government,9,4520,0.097711367,39078,399933,4520
1,,,Federal government,9,3297,0.09930971,30658,308711,3297
1,,,Self employed,9,10469,0.113504043,106893,941755,10469
0,,Management Occupations,,10,138847,0.091336587,1246190,13643930,138847
0,,Business & Financial Operations Occupations,,10,66527,0.084665589,566601,6692223,66527
0,,Computer & Mathematical Occupations,,10,36503,0.065639799,245513,3740307,36503
0,,Architecture & Engineering Occupations,,10,26216,0.075847839,195267,2574457,26216
0,,"Life, Physical, & Social Science Occupations",,10,12578,0.068688277,82204,1196769,12578
0,,Community & Social Services Occupations,,10,22750,0.109938658,245193,2230271,22750
0,,Legal Occupations,,10,16704,0.07107522,114682,1613530,16704
0,,"Education, Training, & Library Occupations",,10,88784,0.094437542,795086,8419173,88784
0,,"Arts, Design, Entertainment, Sports, & Media Occupations",,10,25894,0.102179833,270052,2642909,25894
0,,Healthcare Practitioners & Technical Occupations,,10,78794,0.075203976,586568,7799694,78794
0,,Healthcare Support Occupations,,10,31604,0.154850962,545170,3520611,31604
0,,Protective Service Occupations,,10,28719,0.134830075,404518,3000206,28719
0,,Food Preparation & Serving Related Occupations,,10,62409,0.256265375,1938144,7563035,62409
