Dis1,Industry21,MajorOcc,Sector7,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample
,,,,0,1395403,0.5272706677,76257568,144626987,1395403
,,,"Private, for profit",1,906078,0.5479674692,53677325,97957138,906078
,,,Private non-profit,1,122542,0.3466718856,4034271,11637145,122542
,,,Local government,1,104853,0.4131175939,4088498,9896693,104853
,,,State government,1,72279,0.4009428914,2738802,6830903,72279
,,,Federal government,1,49171,0.6350444149,3031676,4773959,49171
,,,Self employed,1,140480,0.6419998775,8686996,13531149,140480
,,Management Occupations,,2,146146,0.609455041,8714196,14298341,146146
,,Business & Financial Operations Occupations,,2,69701,0.4492899057,3139012,6986607,69701
,,Computer & Mathematical Occupations,,2,37981,0.7357127107,2856075,3882052,37981
,,Architecture & Engineering Occupations,,2,27332,0.8470517335,2265716,2674826,27332
,,"Life, Physical, & Social Science Occupations",,2,13108,0.5378125874,669368,1244612,13108
,,Community & Social Services Occupations,,2,24444,0.3698045059,880729,2381607,24444
,,Legal Occupations,,2,17509,0.4863066457,819487,1685124,17509
,,"Education, Training, & Library Occupations",,2,93084,0.2734016002,2406970,8803789,93084
,,"Arts, Design, Entertainment, Sports, & Media Occupations",,2,27261,0.5452277669,1512042,2773230,27261
,,Healthcare Practitioners & Technical Occupations,,2,82348,0.2533113895,2060925,8135935,82348
,,Healthcare Support Occupations,,2,33949,0.1347671206,506495,3758298,33949
,,Protective Service Occupations,,2,30663,0.779215038,2483543,3187237,30663
,,Food Preparation & Serving Related Occupations,,2,66801,0.4572384884,3677202,8042197,66801
,,Building & Grounds Cleaning & Maintenance Occupations,,2,51133,0.6015974147,3472617,5772327,51133
,,Personal Care & Service Occupations,,2,49306,0.2265659696,1199897,5296016,49306
,,Sales & Related Occupations,,2,142111,0.5044981351,7744453,15350806,142111
,,Office & Administrative Support Occupations,,2,190380,0.2763248751,5327561,19280063,190380
,,"Farming, Fishing, & Forestry Occupations",,2,9649,0.7961908226,788002,989715,9649
,,Construction & Extraction Occupations,,2,64631,0.9729800199,7030452,7225690,64631
,,"Installation, Maintenance, & Repair Occupations",,2,45701,0.9608855815,4543903,4728870,45701
,,Production Occupations,,2,83422,0.7159803164,6230944,8702675,83422
,,Transportation & Material Moving Occupations,,2,83134,0.8389244302,7459461,8891696,83134
,,Military Specific Occupations,,2,5609,0.875286302,468518,535274,5609
,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,,4,31117,0.819813132,2319121,2828841,31117
,Utilities,,,4,13130,0.78300945,972587,1242114,13130
,Construction         ,,,4,80676,0.9077435987,8070240,8890440,80676
,Manufacturing,,,4,151077,0.7102098058,10823226,15239477,151077
,Wholesale Trade,,,4,38133,0.7040485281,2756300,3914929,38133
,Retail Trade,,,4,152097,0.5068519516,8387527,16548278,152097
,"Transportation, Warehousing & Storage",,,4,55178,0.7589890537,4413872,5815462,55178
,Information,,,4,29604,0.5818169249,1775867,3052278,29604
,"Finance, Insurance",,,4,66657,0.4186909554,2862629,6837093,66657
,"Real Estate, Rental & Leasing",,,4,25333,0.5368210972,1440116,2682674,25333
,"Professional, Scientific, Management",,,4,97480,0.5611627278,5481107,9767411,97480
,Administrative & Waste Management Services,,,4,54026,0.6174839316,3828041,6199418,54026
,Educational Services,,,4,143909,0.317950956,4264852,13413553,143909
,Health Care,,,4,161273,0.2264524234,3745822,16541320,161273
,Social Assistance Services,,,4,33032,0.1634272264,550443,3368123,33032
,"Arts, Entertainment, Recreation",,,4,28846,0.5422398023,1634179,3013757,28846
,Accommodation and Food Services,,,4,84746,0.4762066077,4911604,10314019,84746
,Other Services (except Public Administration)       ,,,4,68142,0.4706437498,3354735,7127971,68142
,Public Administration,,,4,70390,0.5566644283,3809916,6844188,70390
,Active Duty Military,,,4,10557,0.867845392,855384,985641,10557
0,,,,8,1309165,0.5262429504,71787250,136414654,1309165
1,,,,8,86238,0.544342028,4470318,8212333,86238
0,,,"Private, for profit",9,853641,0.5473813683,50770189,92751036,853641
0,,,Private non-profit,9,113622,0.341653876,3708619,10854901,113622
0,,,Local government,9,98258,0.4111969135,3833632,9323105,98258
0,,,State government,9,67759,0.3994702199,2568981,6430970,67759
0,,,Federal government,9,45874,0.6346393302,2833822,4465248,45874
0,,,Self employed,9,130011,0.6411751829,8072007,12589394,130011
1,,,"Private, for profit",9,52437,0.5584093435,2907136,5206102,52437
1,,,Private non-profit,9,8920,0.416304887,325652,782244,8920
1,,,Local government,9,6595,0.4443363529,254866,573588,6595
1,,,State government,9,4520,0.4246236245,169821,399933,4520
1,,,Federal government,9,3297,0.6409036283,197854,308711,3297
1,,,Self employed,9,10469,0.6530244066,614989,941755,10469
0,,Management Occupations,,10,138847,0.607880574,8293880,13643930,138847
0,,Business & Financial Operations Occupations,,10,66527,0.447313247,2993520,6692223,66527
0,,Computer & Mathematical Occupations,,10,36503,0.735304348,2750264,3740307,36503
0,,Architecture & Engineering Occupations,,10,26216,0.846670191,2179716,2574457,26216
0,,"Life, Physical, & Social Science Occupations",,10,12578,0.537293329,643016,1196769,12578
0,,Community & Social Services Occupations,,10,22750,0.3645498686,813045,2230271,22750
0,,Legal Occupations,,10,16704,0.4831803561,779626,1613530,16704
0,,"Education, Training, & Library Occupations",,10,88784,0.2719764756,2289817,8419173,88784
0,,"Arts, Design, Entertainment, Sports, & Media Occupations",,10,25894,0.545160276,1440809,2642909,25894
0,,Healthcare Practitioners & Technical Occupations,,10,78794,0.2526913235,1970915,7799694,78794
0,,Healthcare Support Occupations,,10,31604,0.134158531,472320,3520611,31604
0,,Protective Service Occupations,,10,28719,0.779340152,2338181,3000206,28719
0,,Food Preparation & Serving Related Occupations,,10,62409,0.4582900912,3466064,7563035,62409
0,,Building & Grounds Cleaning & Maintenance Occupations,,10,45851,0.6009350946,3159635,5257864,45851
0,,Personal Care & Service Occupations,,10,45545,0.2258878523,1111258,4919512,45545
0,,Sales & Related Occupations,,10,133531,0.5054146617,7337978,14518728,133531
0,,Office & Administrative Support Occupations,,10,178128,0.2751491277,4984100,18114177,178128
0,,"Farming, Fishing, & Forestry Occupations",,10,8917,0.7942625295,736055,926715,8917
0,,Construction & Extraction Occupations,,10,60481,0.9734841282,6629644,6810223,60481
0,,"Installation, Maintenance, & Repair Occupations",,10,42429,0.9609849561,4240152,4412298,42429
0,,Production Occupations,,10,76484,0.7176107731,5796651,8077709,76484
0,,Transportation & Material Moving Occupations,,10,76108,0.8401782489,6914157,8229393,76108
0,,Military Specific Occupations,,10,5362,0.8738099898,446447,510920,5362
1,,Management Occupations,,10,7299,0.6422813797,420316,654411,7299
