Dis1,Industry21,Educ,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est
,,Less than High School,1,109936,12846916,144626987,1395403,0.088827931
,,High School,1,344033,36322013,144626987,1395403,0.251142707
,,Some College,1,457608,47701968,144626987,1395403,0.329827572
,,Bachelors Degree or more,1,483826,47756090,144626987,1395403,0.33020179
,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",Less than High School,3,6462,699675,2828841,31117,0.247336277
,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",High School,3,10867,947943,2828841,31117,0.335099428
,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",Some College,3,8233,697488,2828841,31117,0.246563168
,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",Bachelors Degree or more,3,5555,483735,2828841,31117,0.171001127
,Utilities,Less than High School,3,446,44684,1242114,13130,0.035974154
,Utilities,High School,3,3798,356214,1242114,13130,0.28678044
,Utilities,Some College,3,5091,475853,1242114,13130,0.383099297
,Utilities,Bachelors Degree or more,3,3795,365363,1242114,13130,0.294146109
,Construction,Less than High School,3,14182,1804297,8890440,80676,0.202947998
,Construction,High School,3,31468,3448145,8890440,80676,0.387848633
,Construction,Some College,3,24548,2581402,8890440,80676,0.290357058
,Construction,Bachelors Degree or more,3,10478,1056596,8890440,80676,0.118846311
,Manufacturing,Less than High School,3,15745,1766919,15239477,151077,0.115943546
,Manufacturing,High School,3,49741,4963735,15239477,151077,0.325715574
,Manufacturing,Some College,3,45273,4511269,15239477,151077,0.296025185
,Manufacturing,Bachelors Degree or more,3,40318,3997554,15239477,151077,0.262315695
,Wholesale Trade,Less than High School,3,3463,381207,3914929,38133,0.097372647
,Wholesale Trade,High School,3,10839,1124879,3914929,38133,0.287330626
,Wholesale Trade,Some College,3,12450,1262787,3914929,38133,0.322556808
,Wholesale Trade,Bachelors Degree or more,3,11381,1146056,3914929,38133,0.292739919
,Retail Trade,Less than High School,3,13217,1493393,16548278,152097,0.090244616
,Retail Trade,High School,3,50074,5409978,16548278,152097,0.326920904
,Retail Trade,Some College,3,58685,6481828,16548278,152097,0.391691994
