Dis1,Sector7,Educ,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est
,,Less than High School,1,109936,12846916,144626987,1395403,0.0888279308
,,High School,1,344033,36322013,144626987,1395403,0.2511427069
,,Some College,1,457608,47701968,144626987,1395403,0.3298275722
,,Bachelors Degree or more,1,483826,47756090,144626987,1395403,0.3302017901
,"Private, for profit",Less than High School,3,85354,10290027,97957138,906078,0.1050462193
,"Private, for profit",High School,3,251059,27435486,97957138,906078,0.2800764351
,"Private, for profit",Some College,3,311894,33632658,97957138,906078,0.3433405537
,"Private, for profit",Bachelors Degree or more,3,257771,26598967,97957138,906078,0.2715367919
,Private non-profit,Less than High School,3,5083,504099,11637145,122542,0.0433180991
,Private non-profit,High School,3,18279,1757260,11637145,122542,0.1510043915
,Private non-profit,Some College,3,36128,3490492,11637145,122542,0.2999440155
,Private non-profit,Bachelors Degree or more,3,63052,5885294,11637145,122542,0.5057334939
,Local government,Less than High School,3,3676,360645,9896693,104853,0.0364409606
,Local government,High School,3,19891,1853522,9896693,104853,0.1872870059
,Local government,Some College,3,31067,2967696,9896693,104853,0.2998674406
,Local government,Bachelors Degree or more,3,50219,4714830,9896693,104853,0.4764045929
,State government,Less than High School,3,1971,193629,6830903,72279,0.0283460327
,State government,High School,3,10485,972509,6830903,72279,0.142369025
,State government,Some College,3,19367,1871156,6830903,72279,0.2739251311
,State government,Bachelors Degree or more,3,40456,3793609,6830903,72279,0.5553598111
,Federal government,Less than High School,3,864,80241,4773959,49171,0.0168080622
,Federal government,High School,3,9714,929753,4773959,49171,0.1947551288
,Federal government,Some College,3,18453,1853007,4773959,49171,0.3881489137
,Federal government,Bachelors Degree or more,3,20140,1910958,4773959,49171,0.4002878952
,Self employed,Less than High School,3,12988,1418275,13531149,140480,0.104815563
,Self employed,High School,3,34605,3373483,13531149,140480,0.2493123829
,Self employed,Some College,3,40699,3886959,13531149,140480,0.2872600841
,Self employed,Bachelors Degree or more,3,52188,4852432,13531149,140480,0.3586119701
0,,Less than High School,5,98743,11732325,136414654,1309165,0.0860048731
0,,High School,5,317406,33806415,136414654,1309165,0.2478209929
0,,Some College,5,428265,44872557,136414654,1309165,0.328942351
0,,Bachelors Degree or more,5,464751,46003357,136414654,1309165,0.337231783
0,"Private, for profit",Less than High School,7,77814,9499860,92751036,853641,0.1024232225
0,"Private, for profit",High School,7,233257,25681522,92751036,853641,0.2768866323
0,"Private, for profit",Some College,7,293382,31791306,92751036,853641,0.3427595784
0,"Private, for profit",Bachelors Degree or more,7,249188,25778348,92751036,853641,0.2779305667
0,Private non-profit,Less than High School,7,3857,407093,10854901,113622,0.0375031518
0,Private non-profit,High School,7,15841,1547534,10854901,113622,0.1425654642
0,Private non-profit,Some College,7,33481,3246324,10854901,113622,0.2990652794
0,Private non-profit,Bachelors Degree or more,7,60443,5653950,10854901,113622,0.5208661046
0,Local government,Less than High School,7,3131,312931,9323105,98258,0.0335651052
0,Local government,High School,7,18109,1705746,9323105,98258,0.1829590035
0,Local government,Some College,7,28908,2772532,9323105,98258,0.2973828998
0,Local government,Bachelors Degree or more,7,48110,4531896,9323105,98258,0.4860929916
0,State government,Less than High School,7,1641,164182,6430970,67759,0.0255298967
0,State government,High School,7,9526,889911,6430970,67759,0.1383789693
0,State government,Some College,7,17958,1746393,6430970,67759,0.2715598114
