FIPS,Industry21,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample,StateAB
,,0,1397967,0.056893895,8241638,144859796,1397967,US
,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",1,31497,0.069544532,198618,2855983,31497,US
,Utilities,1,13130,0.052731875,65499,1242114,13130,US
,Construction,1,80908,0.055462794,494371,8913561,80908,US
,Manufacturing,1,151239,0.056296048,858704,15253362,151239,US
,Wholesale Trade,1,38200,0.049306077,193331,3921038,38200,US
,Retail Trade,1,152458,0.063553702,1053698,16579648,152458,US
,"Transportation, Warehousing & Storage",1,55248,0.062052824,361208,5820976,55248,US
,Information,1,29626,0.048291788,147495,3054246,29626,US
,"Finance, Insurance",1,66721,0.038878992,266033,6842590,66721,US
,"Real Estate, Rental & Leasing",1,25462,0.066737282,179882,2695375,25462,US
,"Professional, Scientific, Management",1,97625,0.040997729,400988,9780737,97625,US
,Administrative & Waste Management Services,1,54183,0.071005715,441364,6215894,54183,US
,Educational Services,1,143942,0.047905114,642742,13416981,143942,US
,Health Care,1,161365,0.056049606,927643,16550393,161365,US
,Social Assistance Services,1,33112,0.096400892,325439,3375892,33112,US
,"Arts, Entertainment, Recreation",1,28909,0.057750155,174361,3019230,28909,US
,Accommodation and Food Services,1,84980,0.055104491,569685,10338268,84980,US
,Other Services (except Public Administration),1,68415,0.067404478,482190,7153679,68415,US
,Public Administration,1,70390,0.060989558,417424,6844188,70390,US
,Active Duty Military,1,10557,0.041559757,40963,985641,10557,US
1,,2,19117,0.066263152,132861,2005051,19117,AL
2,,2,2918,0.069012401,25582,370687,2918,AK
4,,2,26822,0.054987698,153051,2783368,26822,AZ
5,,2,11785,0.071929683,88954,1236680,11785,AR
6,,2,162910,0.044273221,761564,17201459,162910,CA
8,,2,25225,0.057807199,150818,2608983,25225,CO
9,,2,17496,0.051488644,90834,1764156,17496,CT
10,,2,3938,0.0625174,26274,420267,3938,DE
11,,2,3380,0.044093008,14685,333046,3380,DC
12,,2,80848,0.052184479,442274,8475202,80848,FL
13,,2,41144,0.05703211,249675,4377797,41144,GA
15,,2,6809,0.047543335,32952,693094,6809,HI
16,,2,6656,0.064950024,45844,705835,6656,ID
17,,2,59156,0.05184463,313602,6048881,59156,IL
18,,2,29681,0.0668236,199988,2992775,29681,IN
19,,2,15321,0.063369301,96930,1529605,15321,IA
20,,2,13588,0.063211285,88036,1392726,13588,KS
21,,2,18837,0.071545657,134956,1886292,18837,KY
22,,2,18901,0.068854509,138789,2015685,18901,LA
23,,2,5937,0.073866671,47434,642157,5937,ME
24,,2,29274,0.051665965,154812,2996402,29274,MD
25,,2,33887,0.048178961,161986,3362173,33887,MA
26,,2,42273,0.062867186,272283,4331083,42273,MI
27,,2,27279,0.054942555,152887,2782670,27279,MN
28,,2,11373,0.075406033,90503,1200209,11373,MS
29,,2,27406,0.062657277,175141,2795222,27406,MO
30,,2,4625,0.069005528,32531,471426,4625,MT
31,,2,9339,0.056095531,53703,957349,9339,NE
32,,2,11818,0.070139095,88199,1257487,11818,NV
33,,2,6823,0.059172212,40449,683581,6823,NH
34,,2,41478,0.046879642,197889,4221214,41478,NJ
35,,2,7669,0.079414361,68474,862237,7669,NM
36,,2,89169,0.046111432,422713,9167206,89169,NY
37,,2,42334,0.058784758,258999,4405887,42334,NC
38,,2,3702,0.056817577,22418,394561,3702,ND
39,,2,53123,0.062209014,330528,5313185,53123,OH
40,,2,15636,0.0798981,138093,1728364,15636,OK
41,,2,17113,0.069890122,123703,1769964,17113,OR
42,,2,58720,0.057354687,339337,5916465,58720,PA
44,,2,5221,0.053305982,27623,518197,5221,RI
45,,2,19975,0.064611805,135108,2091073,19975,SC
46,,2,4135,0.079152318,33925,428604,4135,SD
47,,2,27950,0.068805092,197468,2869962,27950,TN
48,,2,112209,0.060712433,731345,12046050,112209,TX
49,,2,12408,0.055652237,72401,1300954,12408,UT
50,,2,3209,0.064101266,20261,316078,3209,VT
51,,2,39818,0.050358536,203963,4050217,39818,VA
53,,2,31313,0.061955277,202445,3267599,31313,WA
54,,2,7236,0.080979516,61221,756006,7236,WV
55,,2,28160,0.061654543,174048,2822955,28160,WI
56,,2,2823,0.075698563,22079,291670,2823,WY
1,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,351,0.068240331,2359,34569,351,AL
1,Utilities,3,346,0.051229092,1513,29534,346,AL
1,Construction,3,1128,0.064059189,8312,129755,1128,AL
1,Manufacturing,3,2747,0.064208423,18834,293326,2747,AL
1,Wholesale Trade,3,464,0.051733357,2322,44884,464,AL
1,Retail Trade,3,2222,0.072033436,17166,238306,2222,AL
1,"Transportation, Warehousing & Storage",3,718,0.070734065,4976,70348,718,AL
1,Information,3,338,0.068573833,2282,33278,338,AL
1,"Finance, Insurance",3,813,0.052111342,4070,78102,813,AL
1,"Real Estate, Rental & Leasing",3,270,0.057648478,1720,29836,270,AL
1,"Professional, Scientific, Management",3,1021,0.057718465,5856,101458,1021,AL
1,Administrative & Waste Management Services,3,654,0.096445578,7413,76862,654,AL
1,Educational Services,3,1956,0.053323697,10182,190947,1956,AL
1,Health Care,3,2303,0.068365236,16129,235924,2303,AL
1,Social Assistance Services,3,300,0.073544194,2195,29846,300,AL
1,"Arts, Entertainment, Recreation",3,199,0.062911843,1413,22460,199,AL
1,Accommodation and Food Services,3,1096,0.071288786,10054,141032,1096,AL
1,Other Services (except Public Administration),3,936,0.081728292,8249,100932,936,AL
1,Public Administration,3,1135,0.065706522,7327,111511,1135,AL
1,Active Duty Military,3,120,0.040276748,489,12141,120,AL
2,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,192,0.076097603,1787,23483,192,AK
2,Utilities,3,48,0.01995184,58,2907,48,AK
2,Construction,3,217,0.060029915,1806,30085,217,AK
2,Manufacturing,3,141,0.090643275,1116,12312,141,AK
2,Wholesale Trade,3,39,0.019377729,142,7328,39,AK
2,Retail Trade,3,289,0.087855717,3785,43082,289,AK
2,"Transportation, Warehousing & Storage",3,164,0.075373993,1572,20856,164,AK
2,Information,3,46,0.142468733,786,5517,46,AK
2,"Finance, Insurance",3,45,0.057721328,459,7952,45,AK
2,"Real Estate, Rental & Leasing",3,45,0.24407282,1153,4724,45,AK
2,"Professional, Scientific, Management",3,162,0.04502331,1381,30673,162,AK
2,Administrative & Waste Management Services,3,66,0.149007911,1149,7711,66,AK
2,Educational Services,3,284,0.027426591,807,29424,284,AK
2,Health Care,3,290,0.067299101,2561,38054,290,AK
2,Social Assistance Services,3,79,0.108499645,1071,9871,79,AK
2,"Arts, Entertainment, Recreation",3,46,0.128304071,665,5183,46,AK
2,Accommodation and Food Services,3,146,0.021747268,581,26716,146,AK
2,Other Services (except Public Administration),3,125,0.150086555,2601,17330,125,AK
2,Public Administration,3,367,0.056771103,1754,30896,367,AK
2,Active Duty Military,3,127,0.020985346,348,16583,127,AK
4,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,479,0.063945433,3000,46915,479,AZ
4,Utilities,3,303,0.053728595,1459,27155,303,AZ
4,Construction,3,1652,0.055445046,10564,190531,1652,AZ
4,Manufacturing,3,2047,0.043429703,8905,205044,2047,AZ
4,Wholesale Trade,3,639,0.055143789,3534,64087,639,AZ
4,Retail Trade,3,3053,0.058332895,19981,342534,3053,AZ
4,"Transportation, Warehousing & Storage",3,1005,0.063647933,6702,105298,1005,AZ
4,Information,3,486,0.036790512,1824,49578,486,AZ
4,"Finance, Insurance",3,1445,0.030087166,4325,143749,1445,AZ
4,"Real Estate, Rental & Leasing",3,670,0.059494703,4015,67485,670,AZ
4,"Professional, Scientific, Management",3,1792,0.041560708,7191,173024,1792,AZ
4,Administrative & Waste Management Services,3,1356,0.068552883,11005,160533,1356,AZ
4,Educational Services,3,2850,0.047698081,12444,260891,2850,AZ
4,Health Care,3,2973,0.063003501,18754,297666,2973,AZ
4,Social Assistance Services,3,591,0.085666583,5131,59895,591,AZ
4,"Arts, Entertainment, Recreation",3,711,0.042659579,3242,75997,711,AZ
4,Accommodation and Food Services,3,1818,0.051174103,11110,217102,1818,AZ
4,Other Services (except Public Administration),3,1191,0.071088386,9329,131231,1191,AZ
4,Public Administration,3,1570,0.067156599,10116,150633,1570,AZ
4,Active Duty Military,3,191,0.029957204,420,14020,191,AZ
5,"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",3,397,0.081666479,2907,35596,397,AR
5,Utilities,3,173,0.085341859,1388,16264,173,AR
