FIPS,Sector7,_TYPE_,_FREQ_,p_Est,n_Est,Base_pop,Sample,StateAB
,,0,1397967,0.056893895,8241638,144859796,1397967,US
,"Private, for profit",1,906078,0.053146734,5206102,97957138,906078,US
,Private non-profit,1,122542,0.06721958,782244,11637145,122542,US
,Local government,1,104853,0.057957542,573588,9896693,104853,US
,State government,1,72279,0.058547603,399933,6830903,72279,US
,Federal government,1,49171,0.064665616,308711,4773959,49171,US
,Self employed,1,140480,0.069599041,941755,13531149,140480,US
,Working without pay in family business or farm,1,2564,0.125875718,29305,232809,2564,US
1,,2,19117,0.066263152,132861,2005051,19117,AL
2,,2,2918,0.069012401,25582,370687,2918,AK
4,,2,26822,0.054987698,153051,2783368,26822,AZ
5,,2,11785,0.071929683,88954,1236680,11785,AR
6,,2,162910,0.044273221,761564,17201459,162910,CA
8,,2,25225,0.057807199,150818,2608983,25225,CO
9,,2,17496,0.051488644,90834,1764156,17496,CT
10,,2,3938,0.0625174,26274,420267,3938,DE
11,,2,3380,0.044093008,14685,333046,3380,DC
12,,2,80848,0.052184479,442274,8475202,80848,FL
13,,2,41144,0.05703211,249675,4377797,41144,GA
15,,2,6809,0.047543335,32952,693094,6809,HI
16,,2,6656,0.064950024,45844,705835,6656,ID
17,,2,59156,0.05184463,313602,6048881,59156,IL
18,,2,29681,0.0668236,199988,2992775,29681,IN
19,,2,15321,0.063369301,96930,1529605,15321,IA
20,,2,13588,0.063211285,88036,1392726,13588,KS
21,,2,18837,0.071545657,134956,1886292,18837,KY
22,,2,18901,0.068854509,138789,2015685,18901,LA
23,,2,5937,0.073866671,47434,642157,5937,ME
24,,2,29274,0.051665965,154812,2996402,29274,MD
25,,2,33887,0.048178961,161986,3362173,33887,MA
26,,2,42273,0.062867186,272283,4331083,42273,MI
27,,2,27279,0.054942555,152887,2782670,27279,MN
28,,2,11373,0.075406033,90503,1200209,11373,MS
29,,2,27406,0.062657277,175141,2795222,27406,MO
30,,2,4625,0.069005528,32531,471426,4625,MT
31,,2,9339,0.056095531,53703,957349,9339,NE
32,,2,11818,0.070139095,88199,1257487,11818,NV
33,,2,6823,0.059172212,40449,683581,6823,NH
34,,2,41478,0.046879642,197889,4221214,41478,NJ
35,,2,7669,0.079414361,68474,862237,7669,NM
36,,2,89169,0.046111432,422713,9167206,89169,NY
37,,2,42334,0.058784758,258999,4405887,42334,NC
38,,2,3702,0.056817577,22418,394561,3702,ND
