FIPS,Dis1,LaborForce,Educ,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
,,,Less than High School,1,205006,23566226,195451261,1872500,0.120573415,
,,,High School,1,494224,52350758,195451261,1872500,0.267845588,
,,,Some College,1,622273,64815767,195451261,1872500,0.331621125,
,,,Bachelors Degree or more,1,550997,54718510,195451261,1872500,0.279959872,
,,0,Less than High School,3,84701,9215851,45456104,452156,0.20274177,
,,0,High School,3,136521,13696707,45456104,452156,0.301317222,
,,0,Some College,3,150588,14886975,45456104,452156,0.327502221,
,,0,Bachelors Degree or more,3,80346,7656571,45456104,452156,0.168438787,
,,1,Less than High School,3,120305,14350375,149995157,1420344,0.095672256,
,,1,High School,3,357703,38654051,149995157,1420344,0.257701994,
,,1,Some College,3,471685,49928792,149995157,1420344,0.332869361,
,,1,Bachelors Degree or more,3,470651,47061939,149995157,1420344,0.31375639,
,0,,Less than High School,5,161492,19159282,175047388,1664856,0.109451973,
,0,,High School,5,422863,45371756,175047388,1664856,0.25919699,
,0,,Some College,5,557229,58441213,175047388,1664856,0.333859383,
,0,,Bachelors Degree or more,5,523272,52075137,175047388,1664856,0.297491654,
,0,0,Less than High School,7,52906,6049571,33504694,329480,0.180558909,
,0,0,High School,7,92231,9393214,33504694,329480,0.280355165,
,0,0,Some College,7,115317,11483465,33504694,329480,0.342741975,
,0,0,Bachelors Degree or more,7,69026,6578444,33504694,329480,0.196343951,
,0,1,Less than High School,7,108586,13109711,141542694,1335376,0.092620189,
,0,1,High School,7,330632,35978542,141542694,1335376,0.25418862,
,0,1,Some College,7,441912,46957748,141542694,1335376,0.331756777,
,0,1,Bachelors Degree or more,7,454246,45496693,141542694,1335376,0.321434415,
,1,,Less than High School,5,43514,4406944,20403873,207644,0.215985661,
,1,,High School,5,71361,6979002,20403873,207644,0.342043003,
,1,,Some College,5,65044,6374554,20403873,207644,0.312418824,
,1,,Bachelors Degree or more,5,27725,2643373,20403873,207644,0.129552512,
,1,0,Less than High School,7,31795,3166280,11951410,122676,0.26492941,
,1,0,High School,7,44290,4303493,11951410,122676,0.360082451,
,1,0,Some College,7,35271,3403510,11951410,122676,0.284778951,
,1,0,Bachelors Degree or more,7,11320,1078127,11951410,122676,0.090209189,
,1,1,Less than High School,7,11719,1240664,8452463,84968,0.146781358,
,1,1,High School,7,27071,2675509,8452463,84968,0.31653602,
,1,1,Some College,7,29773,2971044,8452463,84968,0.351500385,
,1,1,Bachelors Degree or more,7,16405,1565246,8452463,84968,0.185182236,
1,,,Less than High School,9,3547,401056,2957045,28016,0.13562729,AL
1,,,High School,9,8231,895789,2957045,28016,0.302933841,AL
1,,,Some College,9,9785,1010021,2957045,28016,0.341564298,AL
1,,,Bachelors Degree or more,9,6453,650179,2957045,28016,0.219874571,AL
1,,0,Less than High School,11,1786,190665,845948,8355,0.225386194,AL
1,,0,High School,11,2683,274966,845948,8355,0.325038891,AL
1,,0,Some College,11,2768,273519,845948,8355,0.323328384,AL
1,,0,Bachelors Degree or more,11,1118,106798,845948,8355,0.126246531,AL
1,,1,Less than High School,11,1761,210391,2111097,19661,0.099659561,AL
1,,1,High School,11,5548,620823,2111097,19661,0.294076018,AL
1,,1,Some College,11,7017,736502,2111097,19661,0.3488717,AL
1,,1,Bachelors Degree or more,11,5335,543381,2111097,19661,0.257392721,AL
1,0,,Less than High School,13,2468,294065,2535105,23585,0.115997168,AL
1,0,,High School,13,6719,754645,2535105,23585,0.297678005,AL
1,0,,Some College,13,8404,878944,2535105,23585,0.346709111,AL
1,0,,Bachelors Degree or more,13,5994,607451,2535105,23585,0.239615716,AL
1,0,0,Less than High School,15,939,108685,567051,5410,0.191667064,AL
1,0,0,High School,15,1630,175936,567051,5410,0.310264862,AL
1,0,0,Some College,15,1949,195454,567051,5410,0.344685046,AL
1,0,0,Bachelors Degree or more,15,892,86976,567051,5410,0.153383029,AL
1,0,1,Less than High School,15,1529,185380,1968054,18175,0.09419457,AL
1,0,1,High School,15,5089,578709,1968054,18175,0.294051383,AL
1,0,1,Some College,15,6455,683490,1968054,18175,0.3472923,AL
1,0,1,Bachelors Degree or more,15,5102,520475,1968054,18175,0.264461748,AL
1,1,,Less than High School,13,1079,106991,421940,4431,0.253569228,AL
1,1,,High School,13,1512,141144,421940,4431,0.334512016,AL
1,1,,Some College,13,1381,131077,421940,4431,0.310653173,AL
1,1,,Bachelors Degree or more,13,459,42728,421940,4431,0.101265583,AL
1,1,0,Less than High School,15,847,81980,278897,2945,0.293943642,AL
1,1,0,High School,15,1053,99030,278897,2945,0.355077323,AL
1,1,0,Some College,15,819,78065,278897,2945,0.279906202,AL
1,1,0,Bachelors Degree or more,15,226,19822,278897,2945,0.071072833,AL
1,1,1,Less than High School,15,232,25011,143043,1486,0.174849521,AL
1,1,1,High School,15,459,42114,143043,1486,0.294414966,AL
1,1,1,Some College,15,562,53012,143043,1486,0.370601847,AL
1,1,1,Bachelors Degree or more,15,233,22906,143043,1486,0.160133666,AL
2,,,Less than High School,9,417,38585,474101,4059,0.081385612,AK
2,,,High School,9,1365,135406,474101,4059,0.28560581,AK
2,,,Some College,9,1471,182295,474101,4059,0.384506677,AK
2,,,Bachelors Degree or more,9,806,117815,474101,4059,0.248501902,AK
2,,0,Less than High School,11,178,13936,87632,924,0.159028665,AK
2,,0,High School,11,353,28756,87632,924,0.32814497,AK
2,,0,Some College,11,276,29046,87632,924,0.331454263,AK
2,,0,Bachelors Degree or more,11,117,15894,87632,924,0.181372102,AK
2,,1,Less than High School,11,239,24649,386469,3135,0.063780019,AK
2,,1,High School,11,1012,106650,386469,3135,0.275960038,AK
2,,1,Some College,11,1195,153249,386469,3135,0.396536333,AK
2,,1,Bachelors Degree or more,11,689,101921,386469,3135,0.26372361,AK
2,0,,Less than High School,13,351,31068,428122,3630,0.0725681,AK
2,0,,High School,13,1215,120090,428122,3630,0.280504155,AK
2,0,,Some College,13,1313,165956,428122,3630,0.387637169,AK
2,0,,Bachelors Degree or more,13,751,111008,428122,3630,0.259290576,AK
2,0,0,Less than High School,15,139,10071,69470,731,0.144969051,AK
2,0,0,High School,15,279,21970,69470,731,0.316251619,AK
2,0,0,Some College,15,214,23704,69470,731,0.341212034,AK
2,0,0,Bachelors Degree or more,15,99,13725,69470,731,0.197567295,AK
2,0,1,Less than High School,15,212,20997,358652,2899,0.058544216,AK
2,0,1,High School,15,936,98120,358652,2899,0.273579961,AK
2,0,1,Some College,15,1099,142252,358652,2899,0.396629602,AK
2,0,1,Bachelors Degree or more,15,652,97283,358652,2899,0.271246222,AK
2,1,,Less than High School,13,66,7517,45979,429,0.163487679,AK
2,1,,High School,13,150,15316,45979,429,0.333108593,AK
2,1,,Some College,13,158,16339,45979,429,0.355357881,AK
2,1,,Bachelors Degree or more,13,55,6807,45979,429,0.148045847,AK
2,1,0,Less than High School,15,39,3865,18162,193,0.21280696,AK
2,1,0,High School,15,74,6786,18162,193,0.373637265,AK
2,1,0,Some College,15,62,5342,18162,193,0.294130602,AK
2,1,0,Bachelors Degree or more,15,18,2169,18162,193,0.119425173,AK
2,1,1,Less than High School,15,27,3652,27817,236,0.131286623,AK
2,1,1,High School,15,76,8530,27817,236,0.306647014,AK
2,1,1,Some College,15,96,10997,27817,236,0.395333789,AK
2,1,1,Bachelors Degree or more,15,37,4638,27817,236,0.166732574,AK
4,,,Less than High School,9,4930,565788,3919581,37677,0.144349103,AZ
4,,,High School,9,9022,979045,3919581,37677,0.249783076,AZ
4,,,Some College,9,13540,1403972,3919581,37677,0.358194409,AZ
4,,,Bachelors Degree or more,9,10185,970776,3919581,37677,0.247673412,AZ
4,,0,Less than High School,11,2156,232049,1029883,10213,0.225315885,AZ
4,,0,High School,11,2834,281556,1029883,10213,0.273386394,AZ
4,,0,Some College,11,3467,349430,1029883,10213,0.339290968,AZ
4,,0,Bachelors Degree or more,11,1756,166848,1029883,10213,0.162006752,AZ
4,,1,Less than High School,11,2774,333739,2889698,27464,0.115492692,AZ
4,,1,High School,11,6188,697489,2889698,27464,0.241370898,AZ
4,,1,Some College,11,10073,1054542,2889698,27464,0.36493156,AZ
4,,1,Bachelors Degree or more,11,8429,803928,2889698,27464,0.278204851,AZ
4,0,,Less than High School,13,4111,489110,3531372,33592,0.138504241,AZ
4,0,,High School,13,7820,862413,3531372,33592,0.244214713,AZ
4,0,,Some College,13,12023,1258080,3531372,33592,0.356258134,AZ
4,0,,Bachelors Degree or more,13,9638,921769,3531372,33592,0.261022911,AZ
4,0,0,Less than High School,15,1571,180032,798908,7758,0.2253476,AZ
4,0,0,High School,15,2066,209985,798908,7758,0.262840027,AZ
4,0,0,Some College,15,2643,267129,798908,7758,0.334367662,AZ
4,0,0,Bachelors Degree or more,15,1478,141762,798908,7758,0.177444712,AZ
4,0,1,Less than High School,15,2540,309078,2732464,25834,0.113113293,AZ
4,0,1,High School,15,5754,652428,2732464,25834,0.238769111,AZ
4,0,1,Some College,15,9380,990951,2732464,25834,0.362658392,AZ
4,0,1,Bachelors Degree or more,15,8160,780007,2732464,25834,0.285459205,AZ
4,1,,Less than High School,13,819,76678,388209,4085,0.197517317,AZ
4,1,,High School,13,1202,116632,388209,4085,0.300436105,AZ
4,1,,Some College,13,1517,145892,388209,4085,0.375807877,AZ
4,1,,Bachelors Degree or more,13,547,49007,388209,4085,0.126238701,AZ
4,1,0,Less than High School,15,585,52017,230975,2455,0.225206191,AZ
4,1,0,High School,15,768,71571,230975,2455,0.309864704,AZ
4,1,0,Some College,15,824,82301,230975,2455,0.356319948,AZ
4,1,0,Bachelors Degree or more,15,278,25086,230975,2455,0.108609157,AZ
4,1,1,Less than High School,15,234,24661,157234,1630,0.156842668,AZ
4,1,1,High School,15,434,45061,157234,1630,0.286585599,AZ
4,1,1,Some College,15,693,63591,157234,1630,0.404435428,AZ
