FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
,,,0,0.16622803,32489478,195451261,1872500,
,,0,1,0.169371995,7698991,45456104,452156,
,,1,1,0.16527525,24790487,149995157,1420344,
,0,,2,0.170372042,29823181,175047388,1664856,
,1,,2,0.130676024,2666297,20403873,207644,
,0,0,3,0.184941221,6196399,33504694,329480,
,0,1,3,0.16692336,23626782,141542694,1335376,
,1,0,3,0.125725082,1502592,11951410,122676,
,1,1,3,0.137676438,1163705,8452463,84968,
1,,,4,0.03745293,110750,2957045,28016,AL
2,,,4,0.064089719,30385,474101,4059,AK
4,,,4,0.294732524,1155228,3919581,37677,AZ
5,,,4,0.064214657,113428,1766388,16985,AR
6,,,4,0.371634984,8958113,24104601,227321,CA
8,,,4,0.192673442,643516,3339931,32154,CO
9,,,4,0.143771962,322737,2244784,21900,CT
10,,,4,0.08676211,49343,568716,5162,DE
11,,,4,0.102598506,46875,456878,4533,DC
12,,,4,0.24962073,2922728,11708675,109898,FL
13,,,4,0.086665985,537387,6200668,57721,GA
15,,,4,0.090586405,78833,870252,8598,HI
16,,,4,0.109875838,104396,950127,8971,ID
17,,,4,0.159318682,1279315,8029912,77542,IL
18,,,4,0.059213046,237629,4013119,39474,IN
19,,,4,0.049811047,93175,1870569,18448,IA
20,,,4,0.101748184,177639,1745869,16897,KS
21,,,4,0.029834649,80664,2703702,26671,KY
22,,,4,0.04850562,137878,2842516,26238,LA
23,,,4,0.012718611,10545,829100,7753,ME
24,,,4,0.090443461,339212,3750542,36185,MD
25,,,4,0.101137885,432617,4277497,42728,MA
26,,,4,0.043290353,264347,6106372,59409,MI
27,,,4,0.045149228,151916,3364753,32687,MN
28,,,4,0.024355322,43819,1799155,17127,MS
29,,,4,0.035247322,129864,3684365,36041,MO
30,,,4,0.029276911,18179,620933,5928,MT
31,,,4,0.091169113,102955,1129275,10913,NE
32,,,4,0.266259835,459745,1726678,16016,NV
33,,,4,0.029624647,24971,842913,8272,NH
34,,,4,0.192467466,1065308,5535003,53696,NJ
35,,,4,0.459293207,574850,1251597,11287,NM
36,,,4,0.183660387,2291783,12478374,120673,NY
37,,,4,0.082971808,505446,6091780,58378,NC
38,,,4,0.025076325,11458,456925,4343,ND
39,,,4,0.031098518,220359,7085836,70546,OH
40,,,4,0.089851933,208065,2315643,21397,OK
41,,,4,0.114508504,279926,2444587,23443,OR
42,,,4,0.059784212,469888,7859734,76903,PA
44,,,4,0.131598756,88462,672210,6700,RI
45,,,4,0.05237978,153323,2927141,27865,SC
46,,,4,0.030108549,15275,507331,4900,SD
47,,,4,0.045447561,181903,4002481,38926,TN
48,,,4,0.368787666,5963322,16170069,149672,TX
49,,,4,0.128466164,219028,1704947,16322,UT
50,,,4,0.014306617,5671,396390,3989,VT
51,,,4,0.086490894,451456,5219694,51029,VA
53,,,4,0.108420296,476175,4391936,41955,WA
54,,,4,0.012602729,14286,1133564,10788,WV
55,,,4,0.058052891,205866,3546180,34910,WI
56,,,4,0.081588706,29439,360822,3454,WY
1,,0,5,0.03715713,31433,845948,8355,AL
1,,1,5,0.037571462,79317,2111097,19661,AL
2,,0,5,0.046524101,4077,87632,924,AK
2,,1,5,0.06807273,26308,386469,3135,AK
4,,0,5,0.312834565,322183,1029883,10213,AZ
4,,1,5,0.28828099,833045,2889698,27464,AZ
5,,0,5,0.055332497,27466,496381,5148,AR
5,,1,5,0.067686241,85962,1270007,11837,AR
6,,0,5,0.369664258,2176273,5887161,57036,CA
6,,1,5,0.372271845,6781840,18217440,170285,CA
8,,0,5,0.211737069,142592,673439,6711,CO
8,,1,5,0.187858805,500924,2666492,25443,CO
9,,0,5,0.16178232,69022,426635,4310,CT
9,,1,5,0.139545769,253715,1818149,17590,CT
10,,0,5,0.110135753,14579,132373,1225,DE
10,,1,5,0.079671268,34764,436343,3937,DE
11,,0,5,0.073149469,7384,100944,1021,DC
11,,1,5,0.110950345,39491,355934,3512,DC
12,,0,5,0.230232241,666535,2895055,27806,FL
12,,1,5,0.255989367,2256193,8813620,82092,FL
13,,0,5,0.074621138,114730,1537500,14839,GA
13,,1,5,0.090637309,422657,4663168,42882,GA
15,,0,5,0.086797059,15856,182679,1922,HI
15,,1,5,0.091593184,62977,687573,6676,HI
16,,0,5,0.116404913,25771,221391,2232,ID
16,,1,5,0.107892296,78625,728736,6739,ID
17,,0,5,0.166331949,280187,1684505,16649,IL
17,,1,5,0.157456882,999128,6345407,60893,IL
18,,0,5,0.06051101,56524,934111,9515,IN
18,,1,5,0.058819269,181105,3079008,29959,IN
19,,0,5,0.0583273,20300,348036,3471,IA
19,,1,5,0.047864316,72875,1522533,14977,IA
20,,0,5,0.112189157,39083,348367,3569,KS
20,,1,5,0.099145475,138556,1397502,13328,KS
21,,0,5,0.019019375,14212,747238,7571,KY
21,,1,5,0.033965358,66452,1956464,19100,KY
22,,0,5,0.040840329,31252,765224,7206,LA
22,,1,5,0.051329327,106626,2077292,19032,LA
23,,0,5,0.017077809,3206,187729,1947,ME
23,,1,5,0.011442675,7339,641371,5806,ME
24,,0,5,0.069936421,48972,700236,6994,MD
24,,1,5,0.095151109,290240,3050306,29191,MD
25,,0,5,0.130762928,111387,851824,8795,MA
25,,1,5,0.093771355,321230,3425673,33933,MA
26,,0,5,0.040872478,61916,1514858,15401,MI
26,,1,5,0.044088072,202431,4591514,44008,MI
27,,0,5,0.046569555,26100,560452,5713,MN
27,,1,5,0.044865369,125816,2804301,26974,MN
28,,0,5,0.018449341,9769,529504,5316,MS
28,,1,5,0.026818393,34050,1269651,11811,MS
29,,0,5,0.038698178,32197,832003,8626,MO
29,,1,5,0.034240745,97667,2852362,27415,MO
30,,0,5,0.047099052,6763,143591,1417,MT
30,,1,5,0.023915767,11416,477342,4511,MT
31,,0,5,0.104348603,19847,190199,1950,NE
31,,1,5,0.088499759,83108,939076,8963,NE
32,,0,5,0.238457518,91241,382630,3672,NV
32,,1,5,0.274174732,368504,1344048,12344,NV
33,,0,5,0.028420563,4645,163438,1640,NH
33,,1,5,0.029914272,20326,679475,6632,NH
34,,0,5,0.195588941,227751,1164437,11455,NJ
34,,1,5,0.19163582,837557,4370566,42241,NJ
35,,0,5,0.450237195,159162,353507,3399,NM
35,,1,5,0.462857843,415688,898090,7888,NM
36,,0,5,0.20185651,598749,2966211,29669,NY
36,,1,5,0.177986227,1693034,9512163,91004,NY
37,,0,5,0.074289769,108250,1457132,14879,NC
37,,1,5,0.085701438,397196,4634648,43499,NC
38,,0,5,0.036414676,2776,76233,853,ND
38,,1,5,0.022805838,8682,380692,3490,ND
39,,0,5,0.03002562,48683,1621382,16725,OH
39,,1,5,0.031416863,171676,5464454,53821,OH
40,,0,5,0.084910693,49188,579291,5857,OK
40,,1,5,0.091500456,158877,1736352,15540,OK
41,,0,5,0.08670357,51266,591279,5902,OR
41,,1,5,0.123379384,228660,1853308,17541,OR
42,,0,5,0.078307458,139846,1785858,17994,PA
42,,1,5,0.054337955,330042,6073876,58909,PA
44,,0,5,0.141462806,19262,136163,1396,RI
44,,1,5,0.129093158,69200,536047,5304,RI
45,,0,5,0.040729945,30071,738302,7473,SC
45,,1,5,0.056309304,123252,2188839,20392,SC
46,,0,5,0.02041599,1810,88656,913,SD
46,,1,5,0.032160984,13465,418675,3987,SD
47,,0,5,0.040942087,41618,1016509,10465,TN
47,,1,5,0.046981352,140285,2985972,28461,TN
48,,0,5,0.386833008,1467381,3793319,36782,TX
48,,1,5,0.363256994,4495941,12376750,112890,TX
49,,0,5,0.122637053,46989,383155,3866,UT
49,,1,5,0.130155879,172039,1321792,12456,UT
50,,0,5,0.011988473,1040,86750,883,VT
50,,1,5,0.014956078,4631,309640,3106,VT
51,,0,5,0.069331242,77254,1114274,11363,VA
51,,1,5,0.091148287,374202,4105420,39666,VA
53,,0,5,0.096978391,98294,1013566,10091,WA
53,,1,5,0.111853053,377881,3378370,31864,WA
54,,0,5,0.010288072,3681,357793,3481,WV
54,,1,5,0.013670271,10605,775771,7307,WV
55,,0,5,0.066888137,44276,661941,6818,WI
55,,1,5,0.056025177,161590,2884239,28092,WI
56,,0,5,0.088526953,6142,69380,698,WY
56,,1,5,0.079937003,23297,291442,2756,WY
1,0,,6,0.040256715,102055,2535105,23585,AL
1,1,,6,0.020607195,8695,421940,4431,AL
2,0,,6,0.062893287,26926,428122,3630,AK
2,1,,6,0.075229996,3459,45979,429,AK
4,0,,6,0.29966993,1058246,3531372,33592,AZ
4,1,,6,0.249819041,96982,388209,4085,AZ
5,0,,6,0.070126277,105031,1497741,14122,AR
5,1,,6,0.03125663,8397,268647,2863,AR
6,0,,6,0.375223111,8297252,22112849,207316,CA
6,1,,6,0.331798838,660861,1991752,20005,CA
8,0,,6,0.192065933,582729,3034005,29114,CO
8,1,,6,0.198698378,60787,305926,3040,CO
9,0,,6,0.141335177,291313,2061150,19978,CT
9,1,,6,0.171122995,31424,183634,1922,CT
10,0,,6,0.086401316,43797,506902,4569,DE
10,1,,6,0.089720775,5546,61814,593,DE
11,0,,6,0.107545925,44816,416715,4114,DC
11,1,,6,0.051266091,2059,40163,419,DC
12,0,,6,0.257380459,2704951,10509543,97771,FL
12,1,,6,0.1816122,217777,1199132,12127,FL
13,0,,6,0.091792029,507193,5525458,50891,GA
13,1,,6,0.04471794,30194,675210,6830,GA
15,0,,6,0.08778783,70634,804599,7939,HI
15,1,,6,0.124883859,8199,65653,659,HI
16,0,,6,0.113800552,96090,844372,7834,ID
16,1,,6,0.078540022,8306,105755,1137,ID
17,0,,6,0.163215694,1192589,7306828,70061,IL
17,1,,6,0.119939039,86726,723084,7481,IL
18,0,,6,0.062721799,220803,3520355,34340,IN
18,1,,6,0.034146163,16826,492764,5134,IN
19,0,,6,0.050380703,84662,1680445,16567,IA
19,1,,6,0.044776041,8513,190124,1881,IA
20,0,,6,0.105893924,166017,1567767,15006,KS
20,1,,6,0.065254742,11622,178102,1891,KS
21,0,,6,0.033093576,75585,2283978,22450,KY
21,1,,6,0.012100809,5079,419724,4221,KY
22,0,,6,0.051948073,128520,2474009,22513,LA
22,1,,6,0.025394362,9358,368507,3725,LA
23,0,,6,0.012570377,8895,707616,6608,ME
23,1,,6,0.013582036,1650,121484,1145,ME
24,0,,6,0.093849403,321773,3428610,32956,MD
24,1,,6,0.054169825,17439,321932,3229,MD
25,0,,6,0.096964398,376620,3884106,38733,MA
25,1,,6,0.142344385,55997,393391,3995,MA
26,0,,6,0.044348867,236336,5329020,51399,MI
26,1,,6,0.036033869,28011,777352,8010,MI
27,0,,6,0.046170912,141603,3066931,29576,MN
27,1,,6,0.034628066,10313,297822,3111,MN
28,0,,6,0.02590128,39309,1517647,14244,MS
28,1,,6,0.016020859,4510,281508,2883,MS
29,0,,6,0.036722563,118457,3225728,31230,MO
29,1,,6,0.024871522,11407,458637,4811,MO
30,0,,6,0.027310622,14984,548651,5250,MT
30,1,,6,0.044201876,3195,72282,678,MT
31,0,,6,0.093590551,96757,1033833,9880,NE
31,1,,6,0.064939964,6198,95442,1033,NE
32,0,,6,0.274204074,419776,1530889,14174,NV
32,1,,6,0.204143236,39969,195789,1842,NV
33,0,,6,0.031133984,23582,757436,7442,NH
33,1,,6,0.016249985,1389,85477,830,NH
34,0,,6,0.193476684,985927,5095844,49250,NJ
34,1,,6,0.180756856,79381,439159,4446,NJ
35,0,,6,0.46155195,502763,1089288,9818,NM
35,1,,6,0.444134336,72087,162309,1469,NM
36,0,,6,0.181909203,2070850,11383976,108888,NY
