FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
,,,0,0.4922340614,96207768,195451261,1872500,
,,0,1,0.3765419271,17116129,45456104,452156,
,,1,1,0.5272946179,79091639,149995157,1420344,
,0,,2,0.4911163599,85968636,175047388,1664856,
,1,,2,0.5018229627,10239132,20403873,207644,
,0,0,3,0.3419890359,11458238,33504694,329480,
,0,1,3,0.5264164182,74510398,141542694,1335376,
,1,0,3,0.4734078238,5657891,11951410,122676,
,1,1,3,0.5420007162,4581241,8452463,84968,
1,,,4,0.4832760408,1429069,2957045,28016,AL
2,,,4,0.5273053632,249996,474101,4059,AK
4,,,4,0.494040562,1936432,3919581,37677,AZ
5,,,4,0.4909012063,867122,1766388,16985,AR
6,,,4,0.4986975308,12020905,24104601,227321,CA
8,,,4,0.5038891522,1682955,3339931,32154,CO
9,,,4,0.4896693847,1099202,2244784,21900,CT
10,,,4,0.4793411826,272609,568716,5162,DE
11,,,4,0.473476508,216321,456878,4533,DC
12,,,4,0.4877936231,5711417,11708675,109898,FL
13,,,4,0.482666545,2992855,6200668,57721,GA
15,,,4,0.5144245575,447679,870252,8598,HI
16,,,4,0.4982912811,473440,950127,8971,ID
17,,,4,0.4923127427,3953228,8029912,77542,IL
18,,,4,0.4922567709,1975485,4013119,39474,IN
19,,,4,0.4996105463,934556,1870569,18448,IA
20,,,4,0.5020932269,876589,1745869,16897,KS
21,,,4,0.4921185841,1330542,2703702,26671,KY
22,,,4,0.4829267452,1372727,2842516,26238,LA
23,,,4,0.4918887951,407825,829100,7753,ME
24,,,4,0.4831760316,1812172,3750542,36185,MD
25,,,4,0.4859281023,2078556,4277497,42728,MA
26,,,4,0.490595889,2995761,6106372,59409,MI
27,,,4,0.4982330055,1676431,3364753,32687,MN
28,,,4,0.4793489166,862423,1799155,17127,MS
29,,,4,0.4897706932,1804494,3684365,36041,MO
30,,,4,0.4998091582,310348,620933,5928,MT
31,,,4,0.5001323858,564787,1129275,10913,NE
32,,,4,0.5037598209,869831,1726678,16016,NV
33,,,4,0.496621834,418609,842913,8272,NH
34,,,4,0.4909437267,2717375,5535003,53696,NJ
35,,,4,0.4943739878,618757,1251597,11287,NM
36,,,4,0.4871084165,6078321,12478374,120673,NY
37,,,4,0.4856166835,2958270,6091780,58378,NC
38,,,4,0.5219390491,238487,456925,4343,ND
39,,,4,0.4904978044,3475587,7085836,70546,OH
40,,,4,0.4924088039,1140243,2315643,21397,OK
41,,,4,0.4953679292,1210970,2444587,23443,OR
42,,,4,0.4909116517,3858435,7859734,76903,PA
44,,,4,0.4910325642,330077,672210,6700,RI
45,,,4,0.4826692667,1412841,2927141,27865,SC
46,,,4,0.5081987894,257825,507331,4900,SD
47,,,4,0.486993942,1949184,4002481,38926,TN
48,,,4,0.4938109417,7984957,16170069,149672,TX
49,,,4,0.5009393254,854075,1704947,16322,UT
50,,,4,0.4923711496,195171,396390,3989,VT
51,,,4,0.4905438901,2560489,5219694,51029,VA
53,,,4,0.5025519498,2207176,4391936,41955,WA
54,,,4,0.4964889499,562802,1133564,10788,WV
55,,,4,0.4987755839,1768748,3546180,34910,WI
56,,,4,0.5088714103,183612,360822,3454,WY
1,,0,5,0.3737050031,316135,845948,8355,AL
1,,1,5,0.527182787,1112934,2111097,19661,AL
2,,0,5,0.4152706774,36391,87632,924,AK
2,,1,5,0.5527092729,213605,386469,3135,AK
4,,0,5,0.3707304616,381809,1029883,10213,AZ
4,,1,5,0.5379880527,1554623,2889698,27464,AZ
5,,0,5,0.3943926137,195769,496381,5148,AR
5,,1,5,0.5286214958,671353,1270007,11837,AR
6,,0,5,0.3626629202,2135055,5887161,57036,CA
6,,1,5,0.5426585733,9885850,18217440,170285,CA
8,,0,5,0.3644116245,245409,673439,6711,CO
8,,1,5,0.539115062,1437546,2666492,25443,CO
9,,0,5,0.3682398303,157104,426635,4310,CT
9,,1,5,0.5181632528,942098,1818149,17590,CT
10,,0,5,0.3883118159,51402,132373,1225,DE
10,,1,5,0.5069566832,221207,436343,3937,DE
11,,0,5,0.3987062133,40247,100944,1021,DC
11,,1,5,0.4946815983,176074,355934,3512,DC
12,,0,5,0.3823689015,1106979,2895055,27806,FL
12,,1,5,0.5224230225,4604438,8813620,82092,FL
13,,0,5,0.367795122,565485,1537500,14839,GA
13,,1,5,0.5205409713,2427370,4663168,42882,GA
15,,0,5,0.3876088658,70808,182679,1922,HI
15,,1,5,0.5481177999,376871,687573,6676,HI
16,,0,5,0.3435505508,76059,221391,2232,ID
16,,1,5,0.5453017279,397381,728736,6739,ID
17,,0,5,0.3797441979,639681,1684505,16649,IL
17,,1,5,0.5221961334,3313547,6345407,60893,IL
18,,0,5,0.3768770521,352045,934111,9515,IN
18,,1,5,0.5272607281,1623440,3079008,29959,IN
19,,0,5,0.4046822742,140844,348036,3471,IA
19,,1,5,0.5213102113,793712,1522533,14977,IA
20,,0,5,0.3730031834,129942,348367,3569,KS
20,,1,5,0.5342725806,746647,1397502,13328,KS
21,,0,5,0.3907028283,291948,747238,7571,KY
21,,1,5,0.5308525994,1038594,1956464,19100,KY
22,,0,5,0.3724308176,284993,765224,7206,LA
22,,1,5,0.5236307654,1087734,2077292,19032,LA
23,,0,5,0.4351112508,81683,187729,1947,ME
23,,1,5,0.5085075565,326142,641371,5806,ME
24,,0,5,0.3850087685,269597,700236,6994,MD
24,,1,5,0.5057115581,1542575,3050306,29191,MD
25,,0,5,0.3938724431,335510,851824,8795,MA
25,,1,5,0.5088185592,1743046,3425673,33933,MA
26,,0,5,0.4112986168,623059,1514858,15401,MI
26,,1,5,0.5167580889,2372702,4591514,44008,MI
27,,0,5,0.4061257699,227614,560452,5713,MN
27,,1,5,0.5166410453,1448817,2804301,26974,MN
28,,0,5,0.4058703995,214910,529504,5316,MS
28,,1,5,0.5099929036,647513,1269651,11811,MS
29,,0,5,0.4002317299,332994,832003,8626,MO
29,,1,5,0.5158882358,1471500,2852362,27415,MO
30,,0,5,0.3915705023,56226,143591,1417,MT
30,,1,5,0.5323688257,254122,477342,4511,MT
31,,0,5,0.3670208571,69807,190199,1950,NE
31,,1,5,0.5270925889,494980,939076,8963,NE
32,,0,5,0.3635235084,139095,382630,3672,NV
32,,1,5,0.5436829637,730736,1344048,12344,NV
33,,0,5,0.3929930616,64230,163438,1640,NH
33,,1,5,0.5215482542,354379,679475,6632,NH
34,,0,5,0.3667583562,427067,1164437,11455,NJ
34,,1,5,0.5240300684,2290308,4370566,42241,NJ
35,,0,5,0.4002834456,141503,353507,3399,NM
35,,1,5,0.5314099923,477254,898090,7888,NM
36,,0,5,0.3936092207,1167528,2966211,29669,NY
36,,1,5,0.5162645972,4910793,9512163,91004,NY
37,,0,5,0.3785964484,551665,1457132,14879,NC
37,,1,5,0.5192638146,2406605,4634648,43499,NC
38,,0,5,0.3937402437,30016,76233,853,ND
38,,1,5,0.5476106669,208471,380692,3490,ND
