FIPS,p_Est,n_Est,Base_pop,Sample,Dis_Type,Dis_TypeL,StateAB
,0.104393663,20403873,195451261,1872500,1,Disability,
1,0.142689746,421940,2957045,28016,1,Disability,AL
2,0.096981445,45979,474101,4059,1,Disability,AK
4,0.099043495,388209,3919581,37677,1,Disability,AZ
5,0.152088329,268647,1766388,16985,1,Disability,AR
6,0.082629536,1991752,24104601,227321,1,Disability,CA
8,0.091596503,305926,3339931,32154,1,Disability,CO
9,0.081804753,183634,2244784,21900,1,Disability,CT
10,0.108690454,61814,568716,5162,1,Disability,DE
11,0.087907494,40163,456878,4533,1,Disability,DC
12,0.102413979,1199132,11708675,109898,1,Disability,FL
13,0.108893106,675210,6200668,57721,1,Disability,GA
15,0.075441366,65653,870252,8598,1,Disability,HI
16,0.111306173,105755,950127,8971,1,Disability,ID
17,0.090048808,723084,8029912,77542,1,Disability,IL
18,0.122788285,492764,4013119,39474,1,Disability,IN
19,0.101639662,190124,1870569,18448,1,Disability,IA
20,0.102013381,178102,1745869,16897,1,Disability,KS
21,0.155240481,419724,2703702,26671,1,Disability,KY
22,0.129641135,368507,2842516,26238,1,Disability,LA
23,0.146525148,121484,829100,7753,1,Disability,ME
24,0.085836127,321932,3750542,36185,1,Disability,MD
25,0.091967569,393391,4277497,42728,1,Disability,MA
26,0.127301776,777352,6106372,59409,1,Disability,MI
27,0.088512292,297822,3364753,32687,1,Disability,MN
28,0.156466786,281508,1799155,17127,1,Disability,MS
29,0.124481966,458637,3684365,36041,1,Disability,MO
30,0.116408695,72282,620933,5928,1,Disability,MT
31,0.084516172,95442,1129275,10913,1,Disability,NE
32,0.113390569,195789,1726678,16016,1,Disability,NV
33,0.10140667,85477,842913,8272,1,Disability,NH
34,0.079342143,439159,5535003,53696,1,Disability,NJ
35,0.129681519,162309,1251597,11287,1,Disability,NM
36,0.087703574,1094398,12478374,120673,1,Disability,NY
37,0.116257153,708213,6091780,58378,1,Disability,NC
38,0.077594791,35455,456925,4343,1,Disability,ND
39,0.119161663,844360,7085836,70546,1,Disability,OH
40,0.135937621,314783,2315643,21397,1,Disability,OK
41,0.127871088,312592,2444587,23443,1,Disability,OR
42,0.108391709,851930,7859734,76903,1,Disability,PA
44,0.099312715,66759,672210,6700,1,Disability,RI
45,0.124174066,363475,2927141,27865,1,Disability,SC
46,0.113338235,57500,507331,4900,1,Disability,SD
47,0.139215402,557207,4002481,38926,1,Disability,TN
48,0.100135194,1619193,16170069,149672,1,Disability,TX
49,0.086407965,147321,1704947,16322,1,Disability,UT
50,0.11108252,44032,396390,3989,1,Disability,VT
51,0.090267744,471170,5219694,51029,1,Disability,VA
53,0.108381816,476006,4391936,41955,1,Disability,WA
54,0.184440402,209075,1133564,10788,1,Disability,WV
55,0.102253411,362609,3546180,34910,1,Disability,WI
56,0.108341509,39092,360822,3454,1,Disability,WY
,0.019470665,3805566,195451261,1872500,2,Visual Disability,
1,0.026980651,79783,2957045,28016,2,Visual Disability,AL
2,0.015028443,7125,474101,4059,2,Visual Disability,AK
4,0.020777476,81439,3919581,37677,2,Visual Disability,AZ
5,0.030245903,53426,1766388,16985,2,Visual Disability,AR
6,0.016408486,395520,24104601,227321,2,Visual Disability,CA
8,0.017873423,59696,3339931,32154,2,Visual Disability,CO
9,0.014062378,31567,2244784,21900,2,Visual Disability,CT
10,0.020247364,11515,568716,5162,2,Visual Disability,DE
11,0.018490713,8448,456878,4533,2,Visual Disability,DC
12,0.019683952,230473,11708675,109898,2,Visual Disability,FL
13,0.023876621,148051,6200668,57721,2,Visual Disability,GA
15,0.013124934,11422,870252,8598,2,Visual Disability,HI
16,0.022152828,21048,950127,8971,2,Visual Disability,ID
17,0.017162704,137815,8029912,77542,2,Visual Disability,IL
18,0.022563497,90550,4013119,39474,2,Visual Disability,IN
19,0.014129391,26430,1870569,18448,2,Visual Disability,IA
20,0.015513764,27085,1745869,16897,2,Visual Disability,KS
21,0.029066073,78586,2703702,26671,2,Visual Disability,KY
22,0.029777845,84644,2842516,26238,2,Visual Disability,LA
23,0.016019781,13282,829100,7753,2,Visual Disability,ME
24,0.01559188,58478,3750542,36185,2,Visual Disability,MD
25,0.015316434,65516,4277497,42728,2,Visual Disability,MA
26,0.020538546,125416,6106372,59409,2,Visual Disability,MI
27,0.012164637,40931,3364753,32687,2,Visual Disability,MN
28,0.034990315,62953,1799155,17127,2,Visual Disability,MS
29,0.021370033,78735,3684365,36041,2,Visual Disability,MO
30,0.020082682,12470,620933,5928,2,Visual Disability,MT
31,0.014751057,16658,1129275,10913,2,Visual Disability,NE
