FIPS,Dis1,LaborForce,raceX,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
,,,White only,1,1439080,144090937,195451261,1872500,0.737221834,
,,,Black/African American only,1,195623,24710876,195451261,1872500,0.126429862,
,,,Native American only,1,20328,1567961,195451261,1872500,0.008022261,
,,,Asian only,1,102055,10911797,195451261,1872500,0.055828737,
,,,Some other race(s),1,115414,14169690,195451261,1872500,0.072497307,
,,0,White only,3,334827,32416096,45456104,452156,0.71312966,
,,0,Black/African American only,3,54992,6438191,45456104,452156,0.141635346,
,,0,Native American only,3,7249,511747,45456104,452156,0.011258048,
,,0,Asian only,3,26272,2761152,45456104,452156,0.060743261,
,,0,Some other race(s),3,28816,3328918,45456104,452156,0.073233685,
,,1,White only,3,1104253,111674841,149995157,1420344,0.744522978,
,,1,Black/African American only,3,140631,18272685,149995157,1420344,0.121821833,
,,1,Native American only,3,13079,1056214,149995157,1420344,0.007041654,
,,1,Asian only,3,75783,8150645,149995157,1420344,0.054339388,
,,1,Some other race(s),3,86598,10840772,149995157,1420344,0.072274147,
,0,,White only,5,1282963,129159224,175047388,1664856,0.737852906,
,0,,Black/African American only,5,165052,21384814,175047388,1664856,0.122165856,
,0,,Native American only,5,16651,1293294,175047388,1664856,0.007388251,
,0,,Asian only,5,97245,10415066,175047388,1664856,0.059498551,
,0,,Some other race(s),5,102945,12794990,175047388,1664856,0.073094435,
,0,0,White only,7,244081,23809804,33504694,329480,0.710640843,
,0,0,Black/African American only,7,35020,4296115,33504694,329480,0.128224272,
,0,0,Native American only,7,4885,340966,33504694,329480,0.010176664,
,0,0,Asian only,7,23735,2493106,33504694,329480,0.074410648,
,0,0,Some other race(s),7,21759,2564703,33504694,329480,0.076547573,
,0,1,White only,7,1038882,105349420,141542694,1335376,0.744294298,
,0,1,Black/African American only,7,130032,17088699,141542694,1335376,0.120731763,
,0,1,Native American only,7,11766,952328,141542694,1335376,0.006728203,
,0,1,Asian only,7,73510,7921960,141542694,1335376,0.055968696,
,0,1,Some other race(s),7,81186,10230287,141542694,1335376,0.07227704,
,1,,White only,5,156117,14931713,20403873,207644,0.73180778,
,1,,Black/African American only,5,30571,3326062,20403873,207644,0.163011307,
,1,,Native American only,5,3677,274667,20403873,207644,0.013461513,
,1,,Asian only,5,4810,496731,20403873,207644,0.024344937,
