FIPS,Dis1,LaborForce,Educ,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
,,,Less than High School,1,205006,23566226,195451261,1872500,0.120573415,
,,,High School,1,494224,52350758,195451261,1872500,0.2678455884,
,,,Some College,1,622273,64815767,195451261,1872500,0.3316211247,
,,,Bachelors Degree or more,1,550997,54718510,195451261,1872500,0.2799598719,
,,0,Less than High School,3,84701,9215851,45456104,452156,0.2027417704,
,,0,High School,3,136521,13696707,45456104,452156,0.3013172224,
,,0,Some College,3,150588,14886975,45456104,452156,0.3275022206,
,,0,Bachelors Degree or more,3,80346,7656571,45456104,452156,0.1684387866,
,,1,Less than High School,3,120305,14350375,149995157,1420344,0.0956722556,
,,1,High School,3,357703,38654051,149995157,1420344,0.2577019937,
,,1,Some College,3,471685,49928792,149995157,1420344,0.3328693606,
,,1,Bachelors Degree or more,3,470651,47061939,149995157,1420344,0.3137563901,
,0,,Less than High School,5,161492,19159282,175047388,1664856,0.1094519731,
,0,,High School,5,422863,45371756,175047388,1664856,0.2591969896,
,0,,Some College,5,557229,58441213,175047388,1664856,0.3338593833,
,0,,Bachelors Degree or more,5,523272,52075137,175047388,1664856,0.2974916541,
,0,0,Less than High School,7,52906,6049571,33504694,329480,0.1805589091,
,0,0,High School,7,92231,9393214,33504694,329480,0.2803551646,
,0,0,Some College,7,115317,11483465,33504694,329480,0.3427419752,
,0,0,Bachelors Degree or more,7,69026,6578444,33504694,329480,0.1963439511,
,0,1,Less than High School,7,108586,13109711,141542694,1335376,0.0926201885,
,0,1,High School,7,330632,35978542,141542694,1335376,0.2541886196,
,0,1,Some College,7,441912,46957748,141542694,1335376,0.3317567772,
,0,1,Bachelors Degree or more,7,454246,45496693,141542694,1335376,0.3214344147,
,1,,Less than High School,5,43514,4406944,20403873,207644,0.2159856612,
,1,,High School,5,71361,6979002,20403873,207644,0.3420430033,
,1,,Some College,5,65044,6374554,20403873,207644,0.3124188236,
,1,,Bachelors Degree or more,5,27725,2643373,20403873,207644,0.1295525119,
,1,0,Less than High School,7,31795,3166280,11951410,122676,0.26492941,
,1,0,High School,7,44290,4303493,11951410,122676,0.3600824505,
,1,0,Some College,7,35271,3403510,11951410,122676,0.2847789508,
,1,0,Bachelors Degree or more,7,11320,1078127,11951410,122676,0.0902091887,
,1,1,Less than High School,7,11719,1240664,8452463,84968,0.1467813583,
,1,1,High School,7,27071,2675509,8452463,84968,0.3165360203,
,1,1,Some College,7,29773,2971044,8452463,84968,0.3515003852,
,1,1,Bachelors Degree or more,7,16405,1565246,8452463,84968,0.1851822362,
1,,,Less than High School,9,3547,401056,2957045,28016,0.1356272901,AL
1,,,High School,9,8231,895789,2957045,28016,0.302933841,AL
1,,,Some College,9,9785,1010021,2957045,28016,0.3415642981,AL
