FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
,,,0,0.1662280296,32489478,195451261,1872500,
,,0,1,0.1693719946,7698991,45456104,452156,
,,1,1,0.1652752495,24790487,149995157,1420344,
,0,,2,0.1703720423,29823181,175047388,1664856,
,1,,2,0.1306760241,2666297,20403873,207644,
,0,0,3,0.1849412205,6196399,33504694,329480,
,0,1,3,0.1669233595,23626782,141542694,1335376,
,1,0,3,0.1257250818,1502592,11951410,122676,
,1,1,3,0.1376764382,1163705,8452463,84968,
1,,,4,0.0374529302,110750,2957045,28016,AL
2,,,4,0.0640897193,30385,474101,4059,AK
4,,,4,0.2947325237,1155228,3919581,37677,AZ
5,,,4,0.0642146573,113428,1766388,16985,AR
6,,,4,0.3716349837,8958113,24104601,227321,CA
8,,,4,0.1926734415,643516,3339931,32154,CO
9,,,4,0.143771962,322737,2244784,21900,CT
10,,,4,0.0867621097,49343,568716,5162,DE
11,,,4,0.1025985055,46875,456878,4533,DC
12,,,4,0.2496207299,2922728,11708675,109898,FL
13,,,4,0.086665985,537387,6200668,57721,GA
15,,,4,0.0905864049,78833,870252,8598,HI
16,,,4,0.1098758377,104396,950127,8971,ID
17,,,4,0.1593186824,1279315,8029912,77542,IL
18,,,4,0.059213046,237629,4013119,39474,IN
19,,,4,0.0498110468,93175,1870569,18448,IA
20,,,4,0.1017481839,177639,1745869,16897,KS
21,,,4,0.0298346489,80664,2703702,26671,KY
22,,,4,0.0485056197,137878,2842516,26238,LA
23,,,4,0.0127186105,10545,829100,7753,ME
24,,,4,0.0904434612,339212,3750542,36185,MD
25,,,4,0.1011378851,432617,4277497,42728,MA
26,,,4,0.0432903531,264347,6106372,59409,MI
27,,,4,0.0451492279,151916,3364753,32687,MN
28,,,4,0.0243553224,43819,1799155,17127,MS
29,,,4,0.0352473221,129864,3684365,36041,MO
30,,,4,0.0292769107,18179,620933,5928,MT
31,,,4,0.0911691129,102955,1129275,10913,NE
32,,,4,0.2662598354,459745,1726678,16016,NV
33,,,4,0.0296246469,24971,842913,8272,NH
34,,,4,0.1924674657,1065308,5535003,53696,NJ
35,,,4,0.459293207,574850,1251597,11287,NM
36,,,4,0.1836603872,2291783,12478374,120673,NY
37,,,4,0.0829718079,505446,6091780,58378,NC
38,,,4,0.0250763254,11458,456925,4343,ND
39,,,4,0.0310985182,220359,7085836,70546,OH
40,,,4,0.0898519331,208065,2315643,21397,OK
41,,,4,0.1145085039,279926,2444587,23443,OR
42,,,4,0.0597842115,469888,7859734,76903,PA
44,,,4,0.1315987563,88462,672210,6700,RI
45,,,4,0.0523797795,153323,2927141,27865,SC
46,,,4,0.0301085485,15275,507331,4900,SD
47,,,4,0.0454475612,181903,4002481,38926,TN
48,,,4,0.3687876657,5963322,16170069,149672,TX
49,,,4,0.1284661635,219028,1704947,16322,UT
50,,,4,0.0143066172,5671,396390,3989,VT
51,,,4,0.0864908939,451456,5219694,51029,VA
53,,,4,0.1084202957,476175,4391936,41955,WA
54,,,4,0.0126027291,14286,1133564,10788,WV
55,,,4,0.0580528907,205866,3546180,34910,WI
56,,,4,0.0815887058,29439,360822,3454,WY
1,,0,5,0.0371571302,31433,845948,8355,AL
1,,1,5,0.0375714617,79317,2111097,19661,AL
2,,0,5,0.0465241008,4077,87632,924,AK
2,,1,5,0.0680727303,26308,386469,3135,AK
