FIPS,p_Est,n_Est,Base_pop,Sample,Dis_Type,Dis_TypeL,StateAB
,0.1043936626,20403873,195451261,1872500,1,Disability,
1,0.142689746,421940,2957045,28016,1,Disability,AL
2,0.0969814449,45979,474101,4059,1,Disability,AK
4,0.0990434947,388209,3919581,37677,1,Disability,AZ
5,0.1520883294,268647,1766388,16985,1,Disability,AR
6,0.0826295362,1991752,24104601,227321,1,Disability,CA
8,0.091596503,305926,3339931,32154,1,Disability,CO
9,0.0818047527,183634,2244784,21900,1,Disability,CT
10,0.1086904536,61814,568716,5162,1,Disability,DE
11,0.0879074939,40163,456878,4533,1,Disability,DC
12,0.1024139794,1199132,11708675,109898,1,Disability,FL
13,0.1088931064,675210,6200668,57721,1,Disability,GA
15,0.0754413664,65653,870252,8598,1,Disability,HI
16,0.1113061728,105755,950127,8971,1,Disability,ID
17,0.0900488075,723084,8029912,77542,1,Disability,IL
18,0.1227882851,492764,4013119,39474,1,Disability,IN
19,0.1016396615,190124,1870569,18448,1,Disability,IA
20,0.1020133813,178102,1745869,16897,1,Disability,KS
21,0.1552404814,419724,2703702,26671,1,Disability,KY
22,0.1296411348,368507,2842516,26238,1,Disability,LA
23,0.1465251478,121484,829100,7753,1,Disability,ME
24,0.0858361272,321932,3750542,36185,1,Disability,MD
25,0.0919675689,393391,4277497,42728,1,Disability,MA
26,0.1273017759,777352,6106372,59409,1,Disability,MI
27,0.088512292,297822,3364753,32687,1,Disability,MN
28,0.1564667858,281508,1799155,17127,1,Disability,MS
29,0.1244819664,458637,3684365,36041,1,Disability,MO
30,0.1164086947,72282,620933,5928,1,Disability,MT
31,0.0845161719,95442,1129275,10913,1,Disability,NE
32,0.1133905685,195789,1726678,16016,1,Disability,NV
33,0.1014066695,85477,842913,8272,1,Disability,NH
34,0.0793421431,439159,5535003,53696,1,Disability,NJ
35,0.1296815189,162309,1251597,11287,1,Disability,NM
36,0.0877035742,1094398,12478374,120673,1,Disability,NY
37,0.1162571531,708213,6091780,58378,1,Disability,NC
38,0.0775947913,35455,456925,4343,1,Disability,ND
39,0.1191616628,844360,7085836,70546,1,Disability,OH
40,0.1359376208,314783,2315643,21397,1,Disability,OK
41,0.1278710882,312592,2444587,23443,1,Disability,OR
42,0.1083917089,851930,7859734,76903,1,Disability,PA
44,0.0993127148,66759,672210,6700,1,Disability,RI
45,0.1241740661,363475,2927141,27865,1,Disability,SC
46,0.1133382348,57500,507331,4900,1,Disability,SD
47,0.1392154016,557207,4002481,38926,1,Disability,TN
48,0.1001351942,1619193,16170069,149672,1,Disability,TX
49,0.0864079646,147321,1704947,16322,1,Disability,UT
50,0.1110825197,44032,396390,3989,1,Disability,VT
51,0.0902677437,471170,5219694,51029,1,Disability,VA
53,0.1083818161,476006,4391936,41955,1,Disability,WA
54,0.1844404021,209075,1133564,10788,1,Disability,WV
55,0.1022534107,362609,3546180,34910,1,Disability,WI
56,0.1083415091,39092,360822,3454,1,Disability,WY
,0.0194706649,3805566,195451261,1872500,2,Visual Disability,
1,0.0269806513,79783,2957045,28016,2,Visual Disability,AL
2,0.0150284433,7125,474101,4059,2,Visual Disability,AK
4,0.020777476,81439,3919581,37677,2,Visual Disability,AZ
5,0.0302459029,53426,1766388,16985,2,Visual Disability,AR
6,0.0164084857,395520,24104601,227321,2,Visual Disability,CA
8,0.0178734231,59696,3339931,32154,2,Visual Disability,CO
9,0.0140623775,31567,2244784,21900,2,Visual Disability,CT
10,0.0202473642,11515,568716,5162,2,Visual Disability,DE
11,0.0184907131,8448,456878,4533,2,Visual Disability,DC
12,0.0196839523,230473,11708675,109898,2,Visual Disability,FL
13,0.023876621,148051,6200668,57721,2,Visual Disability,GA
15,0.0131249339,11422,870252,8598,2,Visual Disability,HI
16,0.022152828,21048,950127,8971,2,Visual Disability,ID
17,0.0171627037,137815,8029912,77542,2,Visual Disability,IL
18,0.0225634974,90550,4013119,39474,2,Visual Disability,IN
19,0.0141293906,26430,1870569,18448,2,Visual Disability,IA
20,0.0155137642,27085,1745869,16897,2,Visual Disability,KS
21,0.0290660731,78586,2703702,26671,2,Visual Disability,KY
22,0.0297778447,84644,2842516,26238,2,Visual Disability,LA
23,0.0160197805,13282,829100,7753,2,Visual Disability,ME
24,0.0155918798,58478,3750542,36185,2,Visual Disability,MD
25,0.0153164339,65516,4277497,42728,2,Visual Disability,MA
26,0.0205385456,125416,6106372,59409,2,Visual Disability,MI
27,0.0121646373,40931,3364753,32687,2,Visual Disability,MN
28,0.0349903149,62953,1799155,17127,2,Visual Disability,MS
29,0.0213700326,78735,3684365,36041,2,Visual Disability,MO
30,0.020082682,12470,620933,5928,2,Visual Disability,MT
31,0.0147510571,16658,1129275,10913,2,Visual Disability,NE
32,0.025363154,43794,1726678,16016,2,Visual Disability,NV
33,0.0133797913,11278,842913,8272,2,Visual Disability,NH
34,0.0161320599,89291,5535003,53696,2,Visual Disability,NJ
35,0.0276430832,34598,1251597,11287,2,Visual Disability,NM
36,0.0157811426,196923,12478374,120673,2,Visual Disability,NY
37,0.0217026879,132208,6091780,58378,2,Visual Disability,NC
38,0.0129627401,5923,456925,4343,2,Visual Disability,ND
39,0.0208668391,147859,7085836,70546,2,Visual Disability,OH
40,0.027341002,63312,2315643,21397,2,Visual Disability,OK
41,0.0238706988,58354,2444587,23443,2,Visual Disability,OR
42,0.0176504701,138728,7859734,76903,2,Visual Disability,PA
44,0.0179899139,12093,672210,6700,2,Visual Disability,RI
45,0.023920269,70018,2927141,27865,2,Visual Disability,SC
46,0.0209015416,10604,507331,4900,2,Visual Disability,SD
47,0.0276633418,110722,4002481,38926,2,Visual Disability,TN
48,0.0209315124,338464,16170069,149672,2,Visual Disability,TX
49,0.0138039482,23535,1704947,16322,2,Visual Disability,UT
50,0.0165190847,6548,396390,3989,2,Visual Disability,VT
51,0.0150727227,78675,5219694,51029,2,Visual Disability,VA
53,0.01716168,75373,4391936,41955,2,Visual Disability,WA
54,0.0350487489,39730,1133564,10788,2,Visual Disability,WV
55,0.0146179833,51838,3546180,34910,2,Visual Disability,WI
56,0.0183913398,6636,360822,3454,2,Visual Disability,WY
,0.0209324104,4091266,195451261,1872500,3,Hearing Disability,
1,0.0267175508,79005,2957045,28016,3,Hearing Disability,AL
2,0.0295274636,13999,474101,4059,3,Hearing Disability,AK
4,0.021647722,84850,3919581,37677,3,Hearing Disability,AZ
5,0.0287530259,50789,1766388,16985,3,Hearing Disability,AR
6,0.016034864,386514,24104601,227321,3,Hearing Disability,CA
8,0.0232567679,77676,3339931,32154,3,Hearing Disability,CO
9,0.0157943927,35455,2244784,21900,3,Hearing Disability,CT
10,0.02316622,13175,568716,5162,3,Hearing Disability,DE
11,0.0129815837,5931,456878,4533,3,Hearing Disability,DC
12,0.0181345882,212332,11708675,109898,3,Hearing Disability,FL
13,0.0219866634,136332,6200668,57721,3,Hearing Disability,GA
15,0.0174282851,15167,870252,8598,3,Hearing Disability,HI
16,0.0264248885,25107,950127,8971,3,Hearing Disability,ID
17,0.0172086568,138184,8029912,77542,3,Hearing Disability,IL
18,0.0272628347,109409,4013119,39474,3,Hearing Disability,IN
19,0.0218078029,40793,1870569,18448,3,Hearing Disability,IA
20,0.0226918515,39617,1745869,16897,3,Hearing Disability,KS
21,0.0298472243,80698,2703702,26671,3,Hearing Disability,KY
22,0.0258162135,73383,2842516,26238,3,Hearing Disability,LA
23,0.0308286093,25560,829100,7753,3,Hearing Disability,ME
24,0.0162419192,60916,3750542,36185,3,Hearing Disability,MD
25,0.017251444,73793,4277497,42728,3,Hearing Disability,MA
26,0.0235652201,143898,6106372,59409,3,Hearing Disability,MI
27,0.0200404012,67431,3364753,32687,3,Hearing Disability,MN
28,0.0301385928,54224,1799155,17127,3,Hearing Disability,MS
29,0.0255832416,94258,3684365,36041,3,Hearing Disability,MO
30,0.0276744834,17184,620933,5928,3,Hearing Disability,MT
31,0.0220176662,24864,1129275,10913,3,Hearing Disability,NE
32,0.0266019489,45933,1726678,16016,3,Hearing Disability,NV
33,0.0205382999,17312,842913,8272,3,Hearing Disability,NH
