Sector,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
,,,,,0,1395403,144626987,1395403
,,,,Less than High School,1,109936,12846916,109936
,,,,High School,1,344033,36322013,344033
,,,,Some College,1,457608,47701968,457608
,,,,Bachelors Degree or more,1,483826,47756090,483826
,,,White only,,2,1105177,109859119,1105177
,,,Black/African American only,,2,125849,16105257,125849
,,,Asian only,,2,73809,7881315,73809
,,,Some other race(s),,2,90568,10781296,90568
,,,White only,Less than High School,3,72744,8236760,72744
,,,White only,High School,3,274486,27593767,274486
,,,White only,Some College,3,363496,36274718,363496
,,,White only,Bachelors Degree or more,3,394451,37753874,394451
,,,Black/African American only,Less than High School,3,10921,1315930,10921
,,,Black/African American only,High School,3,35525,4663054,35525
,,,Black/African American only,Some College,3,48658,6358026,48658
,,,Black/African American only,Bachelors Degree or more,3,30745,3768247,30745
,,,Asian only,Less than High School,3,6263,666246,6263
,,,Asian only,High School,3,9478,1088077,9478
,,,Asian only,Some College,3,16284,1744858,16284
,,,Asian only,Bachelors Degree or more,3,41784,4382134,41784
,,,Some other race(s),Less than High School,3,20008,2627980,20008
,,,Some other race(s),High School,3,24544,2977115,24544
,,,Some other race(s),Some College,3,29170,3324366,29170
,,,Some other race(s),Bachelors Degree or more,3,16846,1851835,16846
,,0,,,4,669299,68369419,669299
,,1,,,4,726104,76257568,726104
,,0,,Less than High School,5,41539,4738092,41539
,,0,,High School,5,150624,15593780,150624
,,0,,Some College,5,234401,24217299,234401
,,0,,Bachelors Degree or more,5,242735,23820248,242735
,,1,,Less than High School,5,68397,8108824,68397
,,1,,High School,5,193409,20728233,193409
,,1,,Some College,5,223207,23484669,223207
,,1,,Bachelors Degree or more,5,241091,23935842,241091
,,0,White only,,6,522058,51092407,522058
,,0,Black/African American only,,6,69863,8755567,69863
,,0,Asian only,,6,35872,3782244,35872
,,0,Some other race(s),,6,41506,4739201,41506
,,1,White only,,6,583119,58766712,583119
,,1,Black/African American only,,6,55986,7349690,55986
,,1,Asian only,,6,37937,4099071,37937
,,1,Some other race(s),,6,49062,6042095,49062
,,0,White only,Less than High School,7,25962,2886294,25962
,,0,White only,High School,7,118294,11662908,118294
,,0,White only,Some College,7,182754,18014621,182754
,,0,White only,Bachelors Degree or more,7,195048,18528584,195048
,,0,Black/African American only,Less than High School,7,5229,624418,5229
,,0,Black/African American only,High School,7,17399,2210264,17399
,,0,Black/African American only,Some College,7,28406,3658448,28406
,,0,Black/African American only,Bachelors Degree or more,7,18829,2262437,18829
,,0,Asian only,Less than High School,7,3200,331956,3200
,,0,Asian only,High School,7,4719,530191,4719
,,0,Asian only,Some College,7,8177,866018,8177
,,0,Asian only,Bachelors Degree or more,7,19776,2054079,19776
,,0,Some other race(s),Less than High School,7,7148,895424,7148
,,0,Some other race(s),High School,7,10212,1190417,10212
,,0,Some other race(s),Some College,7,15064,1678212,15064
,,0,Some other race(s),Bachelors Degree or more,7,9082,975148,9082
,,1,White only,Less than High School,7,46782,5350466,46782
,,1,White only,High School,7,156192,15930859,156192
,,1,White only,Some College,7,180742,18260097,180742
,,1,White only,Bachelors Degree or more,7,199403,19225290,199403
,,1,Black/African American only,Less than High School,7,5692,691512,5692
,,1,Black/African American only,High School,7,18126,2452790,18126
,,1,Black/African American only,Some College,7,20252,2699578,20252
,,1,Black/African American only,Bachelors Degree or more,7,11916,1505810,11916
,,1,Asian only,Less than High School,7,3063,334290,3063
,,1,Asian only,High School,7,4759,557886,4759
,,1,Asian only,Some College,7,8107,878840,8107
,,1,Asian only,Bachelors Degree or more,7,22008,2328055,22008
,,1,Some other race(s),Less than High School,7,12860,1732556,12860
,,1,Some other race(s),High School,7,14332,1786698,14332
,,1,Some other race(s),Some College,7,14106,1646154,14106
,,1,Some other race(s),Bachelors Degree or more,7,7764,876687,7764
,0,,,,8,1309165,136414654,1309165
,1,,,,8,86238,8212333,86238
,0,,,Less than High School,9,98743,11732325,98743
,0,,,High School,9,317406,33806415,317406
,0,,,Some College,9,428265,44872557,428265
,0,,,Bachelors Degree or more,9,464751,46003357,464751
,1,,,Less than High School,9,11193,1114591,11193
,1,,,High School,9,26627,2515598,26627
,1,,,Some College,9,29343,2829411,29343
,1,,,Bachelors Degree or more,9,19075,1752733,19075
,0,,White only,,10,1036171,103452749,1036171
,0,,Black/African American only,,10,116819,15133406,116819
,0,,Asian only,,10,71491,7655352,71491
,0,,Some other race(s),,10,84684,10173147,84684
,1,,White only,,10,69006,6406370,69006
,1,,Black/African American only,,10,9030,971851,9030
,1,,Asian only,,10,2318,225963,2318
,1,,Some other race(s),,10,5884,608149,5884
,0,,White only,Less than High School,11,64818,7464794,64818
,0,,White only,High School,11,252828,25605553,252828
,0,,White only,Some College,11,340048,34068045,340048
,0,,White only,Bachelors Degree or more,11,378477,36314357,378477
,0,,Black/African American only,Less than High School,11,9434,1167530,9434
,0,,Black/African American only,High School,11,32616,4348183,32616
,0,,Black/African American only,Some College,11,45430,5997744,45430
,0,,Black/African American only,Bachelors Degree or more,11,29339,3619949,29339
,0,,Asian only,Less than High School,11,5907,630222,5907
,0,,Asian only,High School,11,9047,1043502,9047
,0,,Asian only,Some College,11,15625,1680870,15625
,0,,Asian only,Bachelors Degree or more,11,40912,4300758,40912
